# Full PV List:
ID: 83 | Milar played like a 115.9. (Current rank 115.9, Δ0.0)
ID: 84 | Alkios played like a 113.66. (Current rank 113.66, Δ0.0)
ID: 115 | Saiki played like a 83.27. (Current rank 83.27, Δ0.0)
ID: 123 | Konsumenci played like a 105.04. (Current rank 105.04, Δ0.0)
ID: 133 | ChrisLefko played like a 103.05. (Current rank 103.05, Δ0.0)
ID: 181 | Yolowolf75 played like a 115.17. (Current rank 115.17, Δ0.0)
ID: 225 | MythAndroid played like a 68.71. (Current rank 68.71, Δ0.0)
ID: 327 | Flato played like a 113.17. (Current rank 113.17, Δ0.0)
ID: 369 | florenz played like a 117.32. (Current rank 117.32, Δ0.0)
ID: 382 | Shiku played like a 90.76. (Current rank 90.76, Δ0.0)
ID: 386 | Coglionedown played like a 97.21. (Current rank 97.21, Δ0.0)
ID: 416 | OkitaNobu played like a 77.73. (Current rank 77.73, Δ0.0)
ID: 422 | MapleSyyrup played like a 68.07. (Current rank 68.07, Δ0.0)
ID: 463 | Gabetin played like a 77.33. (Current rank 77.33, Δ0.0)
ID: 490 | fanna played like a 125.86. (Current rank 125.86, Δ0.0)
ID: 493 | chiabobo played like a 54.07. (Current rank 54.07, Δ0.0)

# MVPS:
:first_place: Milar. Played like a 115.9 rank (Current Rank: 115.9, Δ0.0)
:second_place: ID: Alkios. Played like a 113.66 rank (Current Rank: 113.66, Δ0.0)
:third_place: ID: Saiki. Played like a 83.27 rank (Current Rank: 83.27, Δ0.0)
