Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
1,2026-05-10 18:19:57,82.0,atsui,24.113,42.626,0,1,4,4.941,7,24.113,0,0,2,4,34,141,1,2,2,92.308,17.188,9.22,13,4,0,12,1,1,0,4.154,22
8,2026-05-17 17:54:29,138.0,Hejsan,68.212,155.039,4,1,1,4.32,34,68.212,0,0,8,22,103,151,2,3,0,88.095,60.55,27.815,42,9,1,37,5,0,2,4.0,66
16,2026-05-20 22:09:12,120.0,yahallonyanpasu,57.5,181.806,11,0,2,3.783,43,57.5,0,0,21,15,92,160,5,0,1,95.349,43.59,26.875,43,24,0,41,2,0,0,2.977,51
38,2026-05-10 18:19:57,118.0,Diukes,41.844,90.073,2,1,2,4.61,14,41.844,0,0,3,11,59,141,1,2,2,65.385,28.09,36.879,52,12,0,34,18,5,0,4.038,25
81,2026-05-20 22:09:12,125.09,Pile,75.735,159.066,3,2,0,4.663,34,75.735,0,0,8,23,125,172,9,7,0,94.118,61.333,44.853,64,17,1,60,4,0,0,4.392,65
83,2026-05-27 18:17:12,142.26,Milar,79.577,176.07,5,4,0,4.951,31,79.577,0,0,15,21,123,176,9,6,1,97.059,73.874,27.642,47,15,1,45,2,1,1,4.383,82
84,2026-05-27 18:17:12,124.0,Alkios,73.057,127.99,2,3,3,5.349,32,73.057,0,0,6,18,146,200,4,5,3,100,68.862,20,40,11,0,40,0,0,1,5.425,115
115,2026-05-27 18:17:12,105.0,Saiki,41.317,105.829,6,4,6,5.07,26,41.317,0,0,8,14,72,183,7,13,2,97.059,28.571,20.359,34,23,1,33,1,1,0,4.212,44
123,2026-05-27 18:17:12,120.12,Konsumenci,61.979,124.397,7,4,2,5.151,29,61.979,0,0,13,11,119,192,9,11,2,97.297,55.405,25.694,44,24,2,37,7,2,1,3.892,82
125,2026-05-10 18:19:57,150.0,paperyoshi10,87.402,194.773,2,0,0,4.477,33,87.402,0,0,12,23,111,127,5,0,0,100,84,21.26,27,9,0,27,0,0,1,4.148,84
133,2026-05-27 18:17:12,123.0,ChrisLefko,69.231,128.42,1,2,0,5.741,22,69.231,0,0,7,13,139,204,4,11,1,97.727,54.651,38.725,79,8,0,76,3,1,0,5.823,63
170,2026-05-17 17:54:29,68.0,hubcioskubcio,18.31,28.163,1,1,3,5.269,5,18.31,0,0,2,1,26,142,4,1,0,88.889,1.739,19.014,27,6,0,24,3,0,0,5.222,2
171,2026-05-20 22:09:12,84.0,JustAWeirdo,19.186,26.135,1,2,3,5.424,4,19.186,0,0,2,1,33,172,2,4,0,96.429,4.167,16.279,28,6,0,27,1,0,0,5.25,6
174,2026-05-20 22:09:12,85.0,TateyamaAyano,32.558,57.495,0,2,2,4.839,13,32.558,0,0,4,6,56,172,2,4,0,100,12.782,22.674,39,11,0,39,0,0,0,4.385,17
175,2026-05-17 17:54:29,82.0,Kirox,39.456,67.671,0,2,3,5.034,15,39.456,0,0,2,8,58,147,2,3,0,92.308,20.37,26.531,39,11,1,36,3,0,0,4.487,22
