Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
1,atsui,24.113,0.0,4.0,4.941,2.0,4.0,1,2,2,12.0,22.0,13.0,1.0,4.0,0.0,1.0,0.0,4.154,141.0,1
8,Hejsan,68.212,4.0,1.0,4.32,8.0,22.0,2,3,0,37.0,66.0,42.0,5.0,9.0,1.0,0.0,2.0,4.0,151.0,1
16,yahallonyanpasu,57.5,11.0,2.0,3.783,21.0,15.0,5,0,1,41.0,51.0,43.0,2.0,24.0,0.0,0.0,0.0,2.977,160.0,1
38,Diukes,41.844,2.0,2.0,4.61,3.0,11.0,1,2,2,34.0,25.0,52.0,18.0,12.0,0.0,5.0,0.0,4.038,141.0,1
81,Pile,71.963,1.667,0.0,4.569,7.0,16.667,9,7,0,55.0,48.667,58.667,3.667,13.0,0.667,0.0,0.0,4.162,143.667,3
83,Milar,75.837,3.667,0.0,4.631,10.333,12.667,9,6,1,36.333,74.333,37.333,1.0,11.333,0.333,0.333,0.333,3.79,147.0,3
84,Alkios,73.029,2.0,1.5,5.132,5.0,16.0,4,5,3,33.0,110.5,33.0,0.0,8.5,0.0,0.0,0.5,5.155,196.5,2
115,Saiki,40.114,2.75,3.75,4.79,6.0,8.25,7,13,2,29.25,38.25,29.75,0.5,16.0,0.25,0.25,0.0,3.779,168.25,4
123,Konsumenci,56.302,4.25,0.75,4.664,8.75,9.0,9,11,2,29.25,61.5,31.75,2.5,15.75,0.75,0.75,0.25,3.385,159.5,4
125,paperyoshi10,87.402,2.0,0.0,4.477,12.0,23.0,5,0,0,27.0,84.0,27.0,0.0,9.0,0.0,0.0,1.0,4.148,127.0,1
133,ChrisLefko,67.741,0.333,0.0,5.075,4.333,8.667,4,11,1,52.0,51.333,54.333,2.333,6.667,0.0,0.667,0.0,5.064,152.333,3
170,hubcioskubcio,18.31,1.0,3.0,5.269,2.0,1.0,4,1,0,24.0,2.0,27.0,3.0,6.0,0.0,0.0,0.0,5.222,142.0,1
171,JustAWeirdo,19.186,1.0,3.0,5.424,2.0,1.0,2,4,0,27.0,6.0,28.0,1.0,6.0,0.0,0.0,0.0,5.25,172.0,1
174,TateyamaAyano,32.558,0.0,2.0,4.839,4.0,6.0,2,4,0,39.0,17.0,39.0,0.0,11.0,0.0,0.0,0.0,4.385,172.0,1
175,Kirox,39.456,0.0,3.0,5.034,2.0,8.0,2,3,0,36.0,22.0,39.0,3.0,11.0,1.0,0.0,0.0,4.487,147.0,1
180,psirockin,29.231,0.0,3.0,5.132,5.0,2.0,3,2,0,24.0,14.0,28.0,4.0,7.0,0.0,0.0,0.0,4.714,130.0,1
181,Yolowolf75,70.833,3.0,1.0,5.081,5.0,17.0,3,2,1,65.0,71.0,70.0,5.0,6.0,0.0,0.0,0.0,5.071,192.0,1
217,ShelterRin,44.118,0.0,1.0,5.4,4.0,2.0,5,0,0,28.0,32.0,29.0,1.0,2.0,0.0,0.0,0.0,5.345,136.0,1
225,MythAndroid,39.901,1.0,1.667,5.294,3.333,2.667,7,7,2,41.667,19.667,49.667,8.0,8.333,0.667,1.333,0.0,4.712,155.0,3
276,hmsuis,48.634,1.0,0.0,5.056,3.0,8.0,2,4,0,26.0,63.0,26.0,0.0,11.0,0.0,0.0,0.0,4.731,183.0,1
277,chemist,45.833,0.0,3.0,4.591,1.0,7.0,1,3,1,15.0,51.0,15.0,0.0,6.0,0.0,0.0,0.0,4.133,144.0,1
311,beautiful,53.846,1.0,0.0,4.971,5.0,9.0,3,2,0,20.0,50.0,20.0,0.0,5.0,0.0,0.0,1.0,4.8,130.0,1
322,Catge,32.335,0.0,1.0,5.407,2.0,1.0,0,4,1,23.0,31.0,23.0,0.0,6.0,0.0,0.0,0.0,5.0,167.0,1
325,Swapin,62.674,1.0,0.333,5.171,4.0,3.667,8,6,2,48.333,50.667,51.333,3.0,9.667,0.0,0.0,0.333,4.948,157.667,3
327,Flato,71.129,1.0,0.25,4.82,5.75,14.5,12,7,3,48.0,62.25,50.5,2.5,7.5,0.0,0.5,0.25,4.643,155.25,4
335,xeyz,47.832,1.5,0.5,5.245,3.5,5.5,7,2,1,59.5,6.0,83.5,24.0,8.5,0.5,3.5,0.0,4.642,137.0,2
344,Naizuri,61.491,0.667,0.0,4.742,8.333,9.0,11,3,2,39.333,49.0,40.0,0.667,5.667,0.0,0.0,0.0,4.928,143.667,3
369,florenz,77.5,0.0,2.0,5.419,2.0,7.0,2,2,2,42.0,113.0,42.0,0.0,9.0,0.0,0.0,0.0,5.619,200.0,1
382,Shiku,60.837,0.25,0.25,5.186,2.5,7.5,7,12,3,38.5,68.25,39.5,1.0,5.5,0.0,0.0,0.25,5.241,175.75,4
386,Coglionedown,62.646,0.75,1.0,5.169,3.0,8.25,7,13,2,44.75,60.75,47.25,2.5,6.25,0.0,1.0,0.5,4.903,168.75,4
398,kabao,53.892,3.0,1.0,4.833,5.0,10.0,0,4,1,30.0,60.0,31.0,1.0,6.0,0.0,0.0,0.0,4.516,167.0,1
401,Spartric,43.972,0.0,0.0,5.065,0.0,9.0,1,2,2,38.0,24.0,43.0,5.0,2.0,0.0,4.0,0.0,4.558,141.0,1
416,OkitaNobu,47.5,0.0,6.0,6.0,1.0,1.0,2,2,2,43.0,52.0,53.0,10.0,8.0,1.0,0.0,0.0,5.585,200.0,1
