Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
1,atsui,67.93,0.226,0.241,0.0,4.0,0.437,2.0,4.0,1,2,2,12.0,22.0,13.0,1.0,4.0,0.0,1.0,0.0,4.154,141.0,1,1,2,2,67.93
8,Hejsan,123.11,0.41,0.682,0.002,1.0,0.526,8.0,22.0,2,3,0,37.0,66.0,42.0,5.0,9.0,1.0,0.0,2.0,4.0,151.0,1,2,3,0,123.11
16,yahallonyanpasu,119.72,0.399,0.575,0.006,2.0,0.602,21.0,15.0,5,0,1,41.0,51.0,43.0,2.0,24.0,0.0,0.0,0.0,2.977,160.0,1,5,0,1,119.72
38,Diukes,91.28,0.304,0.418,0.001,2.0,0.484,3.0,11.0,1,2,2,34.0,25.0,52.0,18.0,12.0,0.0,5.0,0.0,4.038,141.0,1,1,2,2,91.28
81,Pile,123.45,0.412,0.72,0.001,0.0,0.49,7.0,16.667,9,7,0,55.0,48.667,58.667,3.667,13.0,0.667,0.0,0.0,4.162,143.667,3,9,7,0,123.45
83,Milar,126.78,0.423,0.758,0.002,0.0,0.481,10.333,12.667,9,6,1,36.333,74.333,37.333,1.0,11.333,0.333,0.333,0.333,3.79,147.0,3,9,6,1,126.78
84,Alkios,116.72,0.389,0.73,0.001,1.5,0.41,5.0,16.0,4,5,3,33.0,110.5,33.0,0.0,8.5,0.0,0.0,0.5,5.155,196.5,2,4,5,3,116.72
115,Saiki,86.98,0.29,0.401,0.001,3.75,0.459,6.0,8.25,7,13,2,29.25,38.25,29.75,0.5,16.0,0.25,0.25,0.0,3.779,168.25,4,7,13,2,86.98
123,Konsumenci,105.82,0.353,0.563,0.002,0.75,0.477,8.75,9.0,9,11,2,29.25,61.5,31.75,2.5,15.75,0.75,0.75,0.25,3.385,159.5,4,9,11,2,105.82
125,paperyoshi10,140.98,0.47,0.874,0.001,0.0,0.503,12.0,23.0,5,0,0,27.0,84.0,27.0,0.0,9.0,0.0,0.0,1.0,4.148,127.0,1,5,0,0,140.98
133,ChrisLefko,111.89,0.373,0.677,0.0,0.0,0.418,4.333,8.667,4,11,1,52.0,51.333,54.333,2.333,6.667,0.0,0.667,0.0,5.064,152.333,3,4,11,1,111.89
170,hubcioskubcio,57.33,0.191,0.183,0.001,3.0,0.39,2.0,1.0,4,1,0,24.0,2.0,27.0,3.0,6.0,0.0,0.0,0.0,5.222,142.0,1,4,1,0,57.33
171,JustAWeirdo,56.08,0.187,0.192,0.001,3.0,0.368,2.0,1.0,2,4,0,27.0,6.0,28.0,1.0,6.0,0.0,0.0,0.0,5.25,172.0,1,2,4,0,56.08
174,TateyamaAyano,78.21,0.261,0.326,0.0,2.0,0.452,4.0,6.0,2,4,0,39.0,17.0,39.0,0.0,11.0,0.0,0.0,0.0,4.385,172.0,1,2,4,0,78.21
