Player ID,PlayerName,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,DELTAWR,WR MODIFIER,STREAK MODIFIER
21,PoolNoodle,21.562,0.82,0.635,1.0,1.0,0.725,1.0,1.0,2,4,0,1,2,4,0,6,6,0.333,0.333,0.0,0.0,0.0
59,neoburnz,16.818,0.522,0.451,0.4,1.0,0.571,0.667,0.469,3,2,1,1,3,2,1,6,6,0.583,0.583,0.0,0.0,0.0
33,Tsui,16.568,0.51,0.418,0.367,1.0,0.6,0.694,0.453,6,6,0,2,6,6,0,12,12,0.5,0.5,0.0,0.0,0.0
49,accelerator11,16.231,0.494,0.39,0.667,0.75,0.586,0.694,0.266,8,4,0,2,8,4,0,12,12,0.667,0.667,0.0,0.0,0.0
115,Saiki,15.36,0.454,0.263,0.7,1.0,0.633,0.694,0.188,6,6,0,2,6,6,0,12,12,0.5,0.5,0.0,0.0,0.0
51,Chata,15.311,0.452,0.362,0.4,1.0,0.579,0.556,0.344,4,2,0,1,4,2,0,6,6,0.667,0.667,0.0,0.0,0.0
78,doomchicken,15.217,0.448,0.353,0.467,1.0,0.553,0.611,0.25,3,2,1,1,3,2,1,6,6,0.583,0.583,0.0,0.0,0.0
91,Baikinman,15.181,0.446,0.326,0.467,1.0,0.627,0.611,0.25,3,3,0,1,3,3,0,6,6,0.5,0.5,0.0,0.0,0.0
104,joey,14.365,0.41,0.305,0.433,0.875,0.593,0.556,0.219,6,5,1,2,6,5,1,12,12,0.542,0.542,0.0,0.0,0.0
70,MahiruShiina,14.291,0.407,0.296,0.367,0.875,0.61,0.583,0.234,3,9,0,2,3,9,0,12,12,0.25,0.25,0.0,0.0,0.0
347,Selaph,14.025,0.395,0.379,0.2,1.0,0.531,0.278,0.406,4,2,0,1,4,2,0,6,6,0.667,0.667,0.0,0.0,0.0
37,claydoll1091,13.864,0.388,0.307,0.4,0.75,0.526,0.5,0.25,3,3,0,1,3,3,0,6,6,0.5,0.5,0.0,0.0,0.0
119,Fumiii,13.85,0.388,0.293,0.267,0.75,0.623,0.5,0.312,4,2,0,1,4,2,0,6,6,0.667,0.667,0.0,0.0,0.0
77,neptune,13.623,0.378,0.35,0.133,1.0,0.514,0.278,0.438,2,3,1,1,2,3,1,6,6,0.417,0.417,0.0,0.0,0.0
84,Alkios,13.598,0.377,0.3,0.2,1.0,0.526,0.556,0.219,4,2,0,1,4,2,0,6,6,0.667,0.667,0.0,0.0,0.0
46,Orfey,13.404,0.369,0.218,0.467,0.75,0.631,0.556,0.156,4,2,0,1,4,2,0,6,6,0.667,0.667,0.0,0.0,0.0
143,mahzrunner,12.963,0.35,0.308,0.133,1.0,0.538,0.306,0.312,6,6,0,2,6,6,0,12,12,0.5,0.5,0.0,0.0,0.0
66,bamboo,12.619,0.335,0.338,0.133,1.0,0.49,0.278,0.203,8,4,0,2,8,4,0,12,12,0.667,0.667,0.0,0.0,0.0
291,ss_r_white_pony,12.61,0.335,0.237,0.267,1.0,0.598,0.389,0.156,3,3,0,1,3,3,0,6,6,0.5,0.5,0.0,0.0,0.0
149,Zozo,12.469,0.329,0.294,0.2,1.0,0.491,0.278,0.219,2,3,1,1,2,3,1,6,6,0.417,0.417,0.0,0.0,0.0
289,Provenance,11.966,0.307,0.251,0.167,0.875,0.52,0.25,0.266,3,8,1,2,3,8,1,12,12,0.292,0.292,0.0,0.0,0.0
286,Lakumix,11.811,0.301,0.248,0.2,1.0,0.506,0.389,0.031,2,4,0,1,2,4,0,6,6,0.333,0.333,0.0,0.0,0.0
98,Comete,11.503,0.287,0.244,0.067,1.0,0.539,0.333,0.094,1,5,0,1,1,5,0,6,6,0.167,0.167,0.0,0.0,0.0
353,Solosion,11.402,0.283,0.203,0.133,1.0,0.54,0.389,0.062,4,2,0,1,4,2,0,6,6,0.667,0.667,0.0,0.0,0.0
398,kabao,11.314,0.279,0.211,0.133,0.75,0.462,0.333,0.219,4,2,0,1,4,2,0,6,6,0.667,0.667,0.0,0.0,0.0
318,Nephirea,11.04,0.267,0.276,0.067,1.0,0.448,0.222,0.062,3,3,0,1,3,3,0,6,6,0.5,0.5,0.0,0.0,0.0
357,chommy,10.626,0.249,0.169,0.233,0.5,0.494,0.361,0.078,6,6,0,2,6,6,0,12,12,0.5,0.5,0.0,0.0,0.0
150,Bommie,10.615,0.249,0.201,0.067,1.0,0.494,0.167,0.156,1,5,0,1,1,5,0,6,6,0.167,0.167,0.0,0.0,0.0
147,thjalago,10.554,0.246,0.18,0.2,0.5,0.518,0.333,0.062,2,4,0,1,2,4,0,6,6,0.333,0.333,0.0,0.0,0.0
292,FeyFey,10.271,0.234,0.175,0.2,0.5,0.503,0.278,0.062,7,5,0,2,7,5,0,12,12,0.583,0.583,0.0,0.0,0.0
399,ElJuanchi,10.187,0.23,0.148,0.133,1.0,0.521,0.167,0.094,3,3,0,1,3,3,0,6,6,0.5,0.5,0.0,0.0,0.0
217,ShelterRin,9.662,0.207,0.209,0.067,1.0,0.378,0.056,0.062,2,3,1,1,2,3,1,6,6,0.417,0.417,0.0,0.0,0.0
121,Janoxx,9.368,0.193,0.119,0.133,0.75,0.527,0.111,0.062,3,3,0,1,3,3,0,6,6,0.5,0.5,0.0,0.0,0.0
171,JustAWeirdo,8.929,0.173,0.104,0.089,0.833,0.447,0.111,0.042,10,8,0,3,10,8,0,18,18,0.556,0.556,0.0,0.0,0.0
410,FoopyPoopy,8.279,0.143,0.056,0.067,0.5,0.592,0.056,0.031,2,4,0,1,2,4,0,6,6,0.333,0.333,0.0,0.0,0.0
431,Luna,7.326,0.095,0.098,0.0,0.0,0.314,0.111,0.0,3,2,1,1,3,2,1,6,6,0.583,0.583,0.0,0.0,0.0
