Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,Samples
1,atsui,19.118,0.0,3.0,6.0,3.0,0.0,5,1,0,1
14,ArronChu,61.538,7.0,2.0,3.975,10.0,18.0,2,3,0,1
20,kar72,56.0,0.0,0.0,4.3,5.0,18.0,3,2,0,1
37,claydoll1091,29.565,0.0,0.0,4.794,3.0,2.0,2,3,0,1
41,koroshiya,51.961,3.0,1.0,4.415,7.0,8.0,3,2,0,1
44,Nicole,36.879,0.0,1.0,4.846,4.0,1.0,3,1,1,1
45,LeNainDuPSG,48.039,3.0,1.0,4.429,9.0,5.0,3,2,0,1
49,accelerator11,87.369,15.0,0.0,3.384,17.667,36.5,11,21,0,6
51,Chata,40.517,3.0,1.0,4.66,4.0,8.0,1,3,1,1
64,Yokipi,30.578,0.0,1.0,4.982,1.5,1.5,5,5,0,2
65,Baguett,60.632,5.0,0.0,3.928,8.5,14.0,5,5,0,2
72,ruuka,54.412,0.0,0.0,4.635,7.0,7.0,5,1,0,1
79,JuliAless64,37.278,2.0,0.0,5.032,3.0,5.0,2,4,0,1
81,Pile,51.505,2.25,0.25,4.253,5.0,12.75,10,10,1,4
83,Milar,69.834,6.4,0.0,4.044,9.4,20.8,15,10,1,5
84,Alkios,66.741,4.5,0.5,3.936,9.25,23.5,10,9,1,4
85,Animerod,38.478,3.0,1.0,4.674,4.0,5.5,7,5,0,2
91,kishua,77.059,9.714,0.143,3.685,14.0,32.286,14,22,1,7
98,Comete,59.648,2.0,0.0,4.536,5.5,10.5,5,5,0,2
106,cafezinho,37.41,1.0,1.0,5.154,1.0,5.0,2,4,0,1
113,Maki04,44.755,0.0,0.0,4.828,2.0,7.0,4,2,0,1
115,Saiki,31.634,2.429,1.714,4.583,4.714,4.857,18,18,1,7
121,Janoxx,33.269,1.143,1.0,4.594,4.0,6.0,16,19,2,7
123,Konsumenci,31.978,1.2,0.8,4.633,3.2,4.2,13,12,1,5
126,shadismith,18.868,0.0,3.0,5.3,1.0,0.0,0,5,0,1
133,ChrisLefko,51.63,2.2,0.2,4.408,5.2,11.2,13,12,2,5
143,mahzrunner,21.502,0.667,1.0,5.308,1.5,0.833,21,10,1,6
144,liljakatsuragi,18.621,1.0,0.0,4.778,5.0,1.0,1,5,0,1
148,uy5gf,28.994,1.0,4.0,5.388,1.0,1.0,2,4,0,1
153,Poppysr,35.921,2.6,0.8,4.326,6.2,5.6,11,17,0,5
155,Unborned,22.738,0.0,1.0,5.385,0.5,1.25,5,15,0,4
168,Lightning,30.108,0.0,1.5,5.561,0.5,3.5,7,4,0,2
169,yashadox,19.811,0.0,2.0,5.143,1.0,1.0,0,5,0,1
171,JustAWeirdo,9.184,0.0,3.0,5.444,0.0,1.0,3,2,0,1
174,TateyamaAyano,9.709,0.0,0.0,4.7,0.0,3.0,0,5,0,1
175,Kirox,31.569,0.333,0.333,5.177,2.0,2.333,8,7,0,3
177,oh95,47.959,3.0,0.0,4.563,5.75,7.75,9,11,0,4
181,Yolowolf75,50.35,3.0,0.0,4.653,5.0,8.0,1,3,1,1
194,Math1234,63.309,3.0,0.0,4.148,11.0,19.0,3,1,1,1
217,ShelterRin,27.174,0.0,1.0,5.28,0.0,2.0,2,3,0,1
