Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
1,2026-02-02 00:40:03,5.359,atsui,22.137,3.857,2,38,2,5.304,8,32,20,25.581,3,3,29,139,10,19,0
4,2026-01-31 23:17:02,23.359,watashiii,83.036,31.438,32,9,0,4.019,76,93.103,82.143,71.875,37,45,113,91,60,59,4
9,2026-01-31 08:22:55,21.758,shadowpandax,71.739,21.543,13,30,0,4.364,70,84.848,80.702,57.5,15,43,128,191,15,12,1
12,2026-01-29 16:37:47,14.11,KaoriMaeda,48.855,12.563,10,39,1,4.6,32,65.714,52.83,38.636,12,13,64,144,11,14,2
14,2026-01-29 16:37:47,20.884,ArronChu,74.138,25.417,23,22,0,4.0,61,75,88,75.862,30,39,98,87,28,29,5
20,2026-02-02 00:40:03,16.069,kar72,55.385,14.911,9,6,1,4.594,40,75,62.5,53.333,15,24,86,74,29,19,2
21,2026-01-31 08:22:55,17.947,PoolNoodle,58.0,14.53,11,48,0,4.31,45,61.765,58.333,68.182,16,29,81,148,6,11,0
23,2026-01-17 16:42:16,11.724,Shuuka,47.778,11.873,7,35,2,4.611,22,64,39.024,45.833,10,13,43,90,21,14,0
25,2026-01-29 13:10:54,11.776,80s,45.161,12.641,5,5,1,4.143,22,47.619,40.909,50,10,12,43,93,10,10,1
27,2026-02-02 13:53:19,17.538,Deafness,61.151,19.283,13,8,1,4.215,47,66.667,67.188,59.091,22,28,96,159,16,8,0
28,2026-01-26 19:25:39,17.997,FORTNAYT,60.0,18.201,16,30,0,4.271,44,80,62.963,51.429,22,24,96,160,20,31,1
33,2026-01-31 23:17:02,18.561,Tsui,62.963,19.804,19,44,1,3.882,59,81.081,68.493,50,24,26,92,159,46,53,2
35,2026-01-06 14:13:54,12.237,Akaze,26.415,4.895,2,32,4,5.286,10,42.105,20,23.913,2,6,42,159,2,4,0
36,2026-01-31 08:22:55,11.252,anonimus_opinion,36.364,6.229,1,14,0,5.205,8,52,33.333,30.769,2,3,44,121,2,2,1
37,2026-02-01 10:15:38,12.402,claydoll1091,43.796,10.895,9,9,3,4.848,41,48.148,51.02,41.463,12,25,61,99,49,43,2
38,2026-01-16 18:32:49,15.773,Diukes,52.174,14.96,11,30,1,4.276,36,52.632,63.462,37.838,13,17,72,88,20,23,2
41,2026-01-23 10:40:06,15.364,koroshiya,46.154,15.133,8,18,1,4.529,28,54.286,56.164,29.73,11,11,66,143,8,9,1
44,2026-01-12 05:30:57,13.5,Nicole,44.086,11.085,2,5,0,4.073,18,47.619,43.182,42.857,6,6,41,93,3,2,0
46,2026-01-29 00:15:00,11.562,Orfey,42.188,9.029,7,9,3,4.585,6,65.854,31.481,38.095,14,10,54,73,21,29,0
47,2026-01-29 13:10:54,13.118,Renzou,46.377,12.405,10,58,1,4.953,27,58.621,49.123,38.462,13,13,79,178,18,17,0
49,2026-01-31 08:22:55,18.607,accelerator11,61.864,20.685,14,37,1,4.275,47,94.737,55.385,45.946,23,28,83,95,49,45,1
50,2026-01-31 08:22:55,18.023,Sniparook,55.479,17.031,12,28,2,4.724,44,60.606,67.568,50,23,27,92,97,34,26,1
51,2026-02-02 13:53:19,13.016,Chata,46.491,13.587,17,41,2,4.889,34,56,49.231,50,18,14,62,95,80,63,0
52,2026-01-18 10:29:54,16.213,Thaleko,50.0,15.391,13,25,0,4.245,39,61.538,60.938,44.118,17,18,71,142,4,6,0
59,2026-02-02 13:53:19,14.415,neoburnz,55.696,14.625,10,52,1,5.169,47,69.048,52.632,60,16,32,88,90,71,71,4
64,2026-01-05 00:32:24,9.632,Yokipi,25.503,5.649,5,46,2,4.158,18,28.125,12.857,42.553,8,10,38,149,2,4,0
65,2026-02-02 00:40:03,12.0,Baguett,46.023,10.154,10,39,0,4.825,39,77.273,39.706,39.474,14,25,81,176,4,12,2
66,2026-01-23 10:40:06,11.683,bamboo,37.008,7.902,6,50,3,5.132,6,41.86,33.846,42.857,11,8,53,165,18,27,1
70,2026-01-17 22:50:02,11.854,MahiruShiina,34.343,8.737,7,49,1,4.367,20,43.243,35.135,43.333,12,10,49,99,18,10,0
72,2026-01-31 23:17:02,11.13,ruuka,38.667,9.676,8,44,2,5.447,8,56.667,35,51.163,12,9,58,90,45,57,2
78,2026-02-02 00:40:03,12.408,doomchicken,39.2,10.609,7,9,1,4.891,24,58.974,40.625,45.833,12,14,63,85,22,24,0
79,2026-02-02 00:40:03,11.971,JuliAless64,46.853,10.519,7,8,1,5.058,28,63.333,50.943,40,18,14,67,151,21,22,1
80,2026-01-22 09:18:28,11.529,moosepi,37.838,6.882,6,41,1,5.214,18,55.263,42.5,31.25,9,5,56,159,14,4,0
81,2026-02-02 09:29:42,9.486,Pile,29.452,6.118,5,32,0,3.93,21,52.632,22.581,19.565,7,9,43,146,6,0,0
