Player ID,PlayerName,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,DELTAWR,WR MODIFIER,STREAK MODIFIER
282,akatsuki,21.086,0.63,0.673,0.472,0.988,0.654,0.589,0.547,35,22,2,10,35,22,2,59,59,0.61,0.61,0.0,0.088,0.0
301,channina,20.238,0.686,0.813,0.445,1.0,0.656,0.547,0.606,10,10,1,4,10,10,1,21,21,0.5,0.5,0.0,0.0,0.0
4,watashiii,20.164,0.675,0.71,0.603,1.0,0.671,0.649,0.564,60,59,4,10,29,26,2,123,57,0.504,0.526,0.022,0.004,0.0
14,ArronChu,19.078,0.619,0.648,0.488,1.0,0.679,0.535,0.56,28,29,5,10,25,28,4,62,57,0.492,0.474,-0.018,-0.007,0.0
178,Eryth,18.69,0.632,0.7,0.451,1.0,0.652,0.544,0.549,17,21,1,7,17,21,1,39,39,0.449,0.449,0.0,-0.037,0.0
384,Miki_Hoshii,18.384,0.546,0.614,0.388,1.0,0.593,0.444,0.406,19,16,4,7,19,16,4,39,39,0.538,0.538,0.0,0.028,0.0
9,shadowpandax,18.246,0.565,0.673,0.281,1.0,0.589,0.319,0.596,15,12,1,5,15,12,1,28,28,0.554,0.554,0.0,0.0,0.0
27,Deafness,17.599,0.531,0.594,0.328,0.969,0.58,0.432,0.444,16,8,0,4,16,8,0,24,24,0.667,0.667,0.0,0.0,0.0
49,accelerator11,17.045,0.488,0.502,0.338,1.0,0.622,0.405,0.376,49,45,1,10,27,28,1,95,56,0.521,0.491,-0.03,0.019,0.0
33,Tsui,17.012,0.529,0.563,0.334,0.988,0.639,0.411,0.476,46,53,2,10,22,34,0,101,56,0.465,0.393,-0.072,-0.031,0.0
50,Sniparook,16.859,0.454,0.511,0.225,0.962,0.588,0.324,0.34,34,26,1,10,31,23,1,61,55,0.566,0.573,0.007,0.053,0.0
21,PoolNoodle,16.826,0.493,0.545,0.24,1.0,0.602,0.351,0.444,6,11,0,3,6,11,0,17,17,0.353,0.353,0.0,0.0,0.0
20,kar72,16.536,0.424,0.495,0.177,0.958,0.555,0.258,0.319,29,19,2,9,29,19,2,50,50,0.6,0.6,0.0,0.077,0.0
52,Thaleko,15.907,0.449,0.485,0.297,1.0,0.586,0.311,0.322,4,6,0,2,4,6,0,10,10,0.4,0.4,0.0,0.0,0.0
28,FORTNAYT,15.466,0.494,0.558,0.281,1.0,0.594,0.363,0.378,20,31,1,9,20,31,1,52,52,0.394,0.394,0.0,-0.082,0.0
274,Mami,15.36,0.374,0.393,0.194,0.912,0.564,0.265,0.242,49,33,5,10,35,22,3,87,60,0.592,0.608,0.016,0.081,0.0
268,civiltwlight,15.088,0.435,0.494,0.203,1.0,0.584,0.291,0.3,21,25,1,8,21,25,1,47,47,0.457,0.457,0.0,-0.032,0.0
