<<<<<<< HEAD
chommy, old rank: 10.718, new rank: 11.309, diff: 0.591
Tugia, old rank: 9.826, new rank: 10.397, diff: 0.571
ranny, old rank: 11.56, new rank: 11.967, diff: 0.407
Floth, old rank: 12.48, new rank: 12.883, diff: 0.403
Serozero, old rank: 11.547, new rank: 11.796, diff: 0.249
Tsui, old rank: 14.502, new rank: 14.722, diff: 0.22
kar72, old rank: 16.025, new rank: 16.244, diff: 0.219
anatharax, old rank: 8.764, new rank: 8.896, diff: 0.132
Patoche49, old rank: 10.36, new rank: 10.482, diff: 0.122
qwecocacola, old rank: 11.508, new rank: 11.606, diff: 0.098
Shadow, old rank: 11.406, new rank: 11.475, diff: 0.069
xeyz, old rank: 11.326, new rank: 11.376, diff: 0.05
PotassiumF, old rank: 10.963, new rank: 11.012, diff: 0.049
JustAWeirdo, old rank: 10.171, new rank: 10.213, diff: 0.042
KNotAnyMore, old rank: 10.597, new rank: 10.633, diff: 0.036
pomo, old rank: 12.385, new rank: 12.409, diff: 0.024
Bommie, old rank: 10.375, new rank: 10.389, diff: 0.014
Nunuchu42, old rank: 6.971, new rank: 6.985, diff: 0.014
rorf, old rank: 10.588, new rank: 10.601, diff: 0.013
brandon_K, old rank: 7.659, new rank: 7.67, diff: 0.011
PoolNoodle, old rank: 17.058, new rank: 17.067, diff: 0.009
mahzrunner, old rank: 10.969, new rank: 10.978, diff: 0.009
Kyuuuu, old rank: 10.014, new rank: 10.023, diff: 0.009
civiltwlight, old rank: 15.699, new rank: 15.707, diff: 0.008
CipherKai, old rank: 13.241, new rank: 13.249, diff: 0.008
Mami, old rank: 14.232, new rank: 14.239, diff: 0.007
liljakatsuragi, old rank: 12.169, new rank: 12.176, diff: 0.007
_nadeshiko, old rank: 11.335, new rank: 11.342, diff: 0.007
Lightning, old rank: 10.494, new rank: 10.501, diff: 0.007
mangoss, old rank: 12.419, new rank: 12.423, diff: 0.004
joey, old rank: 12.149, new rank: 12.153, diff: 0.004
Lakumix, old rank: 11.774, new rank: 11.778, diff: 0.004
Torradinhas, old rank: 10.913, new rank: 10.917, diff: 0.004
tskr, old rank: 10.896, new rank: 10.9, diff: 0.004
psirockin, old rank: 10.26, new rank: 10.264, diff: 0.004
FoopyPoopy, old rank: 9.509, new rank: 9.513, diff: 0.004
Nephirea, old rank: 13.87, new rank: 13.873, diff: 0.003
Isekaijoucho, old rank: 11.052, new rank: 11.055, diff: 0.003
jaimeywea, old rank: 11.012, new rank: 11.015, diff: 0.003
erzakuran, old rank: 7.956, new rank: 7.959, diff: 0.003
yasashiikumo, old rank: 12.021, new rank: 12.022, diff: 0.001
AnnaYanami, old rank: 11.973, new rank: 11.974, diff: 0.001
inta, old rank: 9.955, new rank: 9.956, diff: 0.001
MahiruShiina, old rank: 14.647, new rank: 14.646, diff: -0.001
Naizuri, old rank: 11.943, new rank: 11.942, diff: -0.001
Catge, old rank: 10.519, new rank: 10.518, diff: -0.001
IAmAsianNoob, old rank: 9.642, new rank: 9.641, diff: -0.001
apurplenose, old rank: 14.292, new rank: 14.29, diff: -0.002
Najeem, old rank: 9.981, new rank: 9.978, diff: -0.003
hubcioskubcio, old rank: 8.891, new rank: 8.888, diff: -0.003
cafezinho, old rank: 14.695, new rank: 14.691, diff: -0.004
Flato, old rank: 13.418, new rank: 13.414, diff: -0.004
HaruUrara, old rank: 12.685, new rank: 12.681, diff: -0.004
miiarad, old rank: 12.301, new rank: 12.297, diff: -0.004
chaabdu92, old rank: 12.745, new rank: 12.74, diff: -0.005
Skychael, old rank: 13.084, new rank: 13.078, diff: -0.006
hmsuis, old rank: 12.902, new rank: 12.896, diff: -0.006
Spartric, old rank: 10.8, new rank: 10.794, diff: -0.006
ShelterRin, old rank: 13.551, new rank: 13.544, diff: -0.007
LordGrond, old rank: 11.097, new rank: 11.09, diff: -0.007
Provenance, old rank: 13.988, new rank: 13.98, diff: -0.008
Heleos, old rank: 12.595, new rank: 12.585, diff: -0.01
Beokros, old rank: 14.869, new rank: 14.858, diff: -0.011
tapumomo, old rank: 14.419, new rank: 14.407, diff: -0.012
ss_r_white_pony, old rank: 12.311, new rank: 12.299, diff: -0.012
Dav1d1, old rank: 11.895, new rank: 11.883, diff: -0.012
Chata, old rank: 15.038, new rank: 15.025, diff: -0.013
claydoll1091, old rank: 13.306, new rank: 13.287, diff: -0.019
Komari, old rank: 13.293, new rank: 13.257, diff: -0.036
Pile, old rank: 14.186, new rank: 14.143, diff: -0.043
Nomu, old rank: 8.873, new rank: 8.811, diff: -0.062
Caramel36, old rank: 9.379, new rank: 9.297, diff: -0.082
2skr, old rank: 12.259, new rank: 12.175, diff: -0.084
Fumiii, old rank: 13.509, new rank: 13.422, diff: -0.087
Gabetin, old rank: 10.636, new rank: 10.546, diff: -0.09
Jakemonkey, old rank: 12.584, new rank: 12.49, diff: -0.094
bamboo, old rank: 13.978, new rank: 13.856, diff: -0.122
neoburnz, old rank: 16.589, new rank: 16.456, diff: -0.133
753, old rank: 13.233, new rank: 13.083, diff: -0.15
Porte, old rank: 12.296, new rank: 12.112, diff: -0.184
AitsukiNakuru, old rank: 12.066, new rank: 11.873, diff: -0.193
Konsumenci, old rank: 12.103, new rank: 11.892, diff: -0.211
Emdiel, old rank: 13.261, new rank: 13.037, diff: -0.224
anicomi, old rank: 10.032, new rank: 9.802, diff: -0.23
Spitzell, old rank: 14.062, new rank: 13.785, diff: -0.277
AnotherWish, old rank: 12.425, new rank: 12.114, diff: -0.311
Dovixx, old rank: 9.49, new rank: 9.176, diff: -0.314
Legitted, old rank: 13.769, new rank: 13.43, diff: -0.339
sssthnoob, old rank: 12.446, new rank: 12.01, diff: -0.436
keysha18, old rank: 10.821, new rank: 10.384, diff: -0.437
redeyes, old rank: 12.571, new rank: 11.979, diff: -0.592
OkitaNobu, old rank: 10.339, new rank: 9.481, diff: -0.858
=======
Provenance, old rank: 13.535, new rank: 14.002, diff: 0.467
LordGrond, old rank: 10.711, new rank: 11.109, diff: 0.398
JustAWeirdo, old rank: 9.968, new rank: 10.278, diff: 0.31
psirockin, old rank: 10.448, new rank: 10.565, diff: 0.117
Gabetin, old rank: 10.585, new rank: 10.685, diff: 0.1
brandon_K, old rank: 7.611, new rank: 7.641, diff: 0.03
FoopyPoopy, old rank: 9.205, new rank: 9.23, diff: 0.025
Heleos, old rank: 12.356, new rank: 12.324, diff: -0.032
Caramel36, old rank: 8.981, new rank: 8.915, diff: -0.066
cafezinho, old rank: 14.823, new rank: 14.701, diff: -0.122
Serozero, old rank: 12.741, new rank: 12.614, diff: -0.127
PoolNoodle, old rank: 17.512, new rank: 17.044, diff: -0.468
md22, old rank: 12.386, new rank: 11.855, diff: -0.531
Nunuchu42, old rank: 8.289, new rank: 6.948, diff: -1.341
>>>>>>> 4e2514e (trying to build an interface (not done))
