gw13, Last month elo: 9.077, this month elo: 10.436, diff: 1.359
Zozo, Last month elo: 11.064, this month elo: 12.107, diff: 1.043
Kazaseno, Last month elo: 14.773, this month elo: 15.779, diff: 1.006
Alkios, Last month elo: 12.005, this month elo: 12.774, diff: 0.769
ranny, Last month elo: 9.433, this month elo: 10.17, diff: 0.737
apurplenose, Last month elo: 15.578, this month elo: 16.296, diff: 0.718
Kezzy, Last month elo: 15.536, this month elo: 16.235, diff: 0.699
chommy, Last month elo: 9.037, this month elo: 9.71, diff: 0.673
kabao, Last month elo: 9.718, this month elo: 10.36, diff: 0.642
LordGrond, Last month elo: 6.193, this month elo: 6.833, diff: 0.64
kishua, Last month elo: 13.224, this month elo: 13.81, diff: 0.586
Sniparook, Last month elo: 17.518, this month elo: 18.096, diff: 0.578
FeyFey, Last month elo: 9.246, this month elo: 9.824, diff: 0.578
Pile, Last month elo: 13.28, this month elo: 13.851, diff: 0.571
Naizuri, Last month elo: 9.86, this month elo: 10.428, diff: 0.568
Oshino_bu, Last month elo: 9.626, this month elo: 10.187, diff: 0.561
bamboo, Last month elo: 14.342, this month elo: 14.879, diff: 0.537
Beokros, Last month elo: 13.969, this month elo: 14.499, diff: 0.53
Zeal_Kido, Last month elo: 12.32, this month elo: 12.829, diff: 0.509
Saiki, Last month elo: 13.167, this month elo: 13.62, diff: 0.453
oolli, Last month elo: 10.245, this month elo: 10.696, diff: 0.451
chaabdu92, Last month elo: 12.352, this month elo: 12.798, diff: 0.446
Wolbachia, Last month elo: 12.075, this month elo: 12.506, diff: 0.431
I_dont_like_loli, Last month elo: 9.785, this month elo: 10.216, diff: 0.431
SayuriDate, Last month elo: 14.153, this month elo: 14.561, diff: 0.408
Maki04, Last month elo: 13.883, this month elo: 14.289, diff: 0.406
Nazemeiyue, Last month elo: 18.448, this month elo: 18.851, diff: 0.403
sssthnoob, Last month elo: 11.818, this month elo: 12.216, diff: 0.398
CipherKai, Last month elo: 12.956, this month elo: 13.347, diff: 0.391
Janoxx, Last month elo: 12.001, this month elo: 12.337, diff: 0.336
Mami, Last month elo: 15.315, this month elo: 15.643, diff: 0.328
MD22, Last month elo: 10.105, this month elo: 10.421, diff: 0.316
ShiinaMahiru, Last month elo: 15.509, this month elo: 15.815, diff: 0.306
bella, Last month elo: 17.712, this month elo: 18.004, diff: 0.292
mkby, Last month elo: 14.284, this month elo: 14.568, diff: 0.284
ShelterRin, Last month elo: 12.869, this month elo: 13.152, diff: 0.283
Provenance, Last month elo: 12.6, this month elo: 12.877, diff: 0.277
AnotherWish, Last month elo: 10.721, this month elo: 10.996, diff: 0.275
Catge, Last month elo: 8.989, this month elo: 9.264, diff: 0.275
