Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Player ID,Offlist hit
2026-01-05 04:57:28,20.806,Stunar,85.437,30.05,4.0,4,0.0,3.136,60,84.211,90.698,80.488,13.0,38.0,88.0,103,3.0,2.0,0.0,96.667,80.822,29.126,30.0,6.0,0.0,29.0,1.0,1.0,2.0,3.333,7.0,59.0
2026-01-24 15:46:06,14.5,Hejsan,47.273,12.133,0.0,6,1.0,4.365,21,41.176,49.02,47.619,2.0,20.0,52.0,110,3.0,2.0,0.0,75,31.429,36.364,40.0,5.0,1.0,30.0,10.0,4.0,0.0,3.9,8.0,22.0
2026-01-15 10:15:43,16.684,ArronChu,69.101,25.392,12.0,7,0.0,3.78,61,65.625,76.923,61.765,21.0,27.0,123.0,178,2.0,3.0,1.0,83.784,65.248,20.787,37.0,13.0,3.0,31.0,6.0,1.0,3.0,2.378,14.0,92.0
2026-01-20 03:31:56,19.0,ArronChu,67.164,24.551,11.0,3,1.0,3.467,51,60,80,54.545,19.0,26.0,90.0,134,2.0,4.0,0.0,100,58.879,20.149,27.0,13.0,0.0,27.0,0.0,0.0,2.0,2.111,14.0,63.0
2026-01-22 11:25:41,16.684,ArronChu,57.237,20.731,10.0,8,2.0,3.828,40,71.429,57.692,51.389,14.0,20.0,87.0,152,3.0,1.0,2.0,93.103,48.78,19.079,29.0,10.0,1.0,27.0,2.0,0.0,3.0,2.517,14.0,60.0
2026-01-30 12:34:01,19.0,ArronChu,71.053,23.902,9.0,3,0.0,3.333,48,86.667,62.5,69.444,12.0,24.0,81.0,114,3.0,3.0,0.0,90,67.021,17.544,20.0,9.0,1.0,18.0,2.0,1.0,5.0,2.05,14.0,63.0
2026-01-14 22:26:09,16.827,kar72,61.905,25.187,6.0,5,0.0,3.212,34,77.778,57.143,58.333,14.0,16.0,52.0,84,3.0,2.0,0.0,89.286,48.214,33.333,28.0,3.0,0.0,25.0,3.0,2.0,0.0,3.214,20.0,27.0
2026-01-16 02:13:08,16.827,kar72,57.851,18.661,5.0,9,1.0,3.586,36,71.429,62.264,50,14.0,15.0,70.0,121,5.0,1.0,0.0,81.081,47.619,30.579,37.0,4.0,1.0,30.0,7.0,2.0,2.0,3.378,20.0,40.0
2026-01-26 22:54:33,16.827,kar72,62.903,19.745,7.0,3,0.0,3.718,34,69.565,63.158,59.091,15.0,12.0,78.0,124,4.0,1.0,0.0,90.698,48.148,34.677,43.0,3.0,0.0,39.0,4.0,3.0,4.0,3.721,20.0,39.0
2026-02-01 16:58:28,17.824,kar72,63.492,23.383,8.0,4,0.0,3.7,37,74.074,66.667,52.381,12.0,24.0,80.0,126,3.0,2.0,0.0,97.619,46.429,33.333,42.0,7.0,0.0,41.0,1.0,0.0,4.0,3.762,20.0,39.0
2026-01-05 04:57:28,19.356,PoolNoodle,72.897,27.427,8.0,5,0.0,3.064,55,82.353,62.222,80,12.0,29.0,78.0,107,3.0,2.0,0.0,100,65.06,22.43,24.0,10.0,0.0,24.0,0.0,0.0,1.0,2.292,21.0,54.0
2026-01-17 07:53:40,19.356,PoolNoodle,65.0,24.134,9.0,7,0.0,3.308,37,64.286,58,75,14.0,23.0,65.0,100,2.0,3.0,0.0,92.857,60.465,14,14.0,6.0,0.0,13.0,1.0,1.0,3.0,2.214,21.0,52.0
2026-01-20 03:31:56,19.356,PoolNoodle,69.118,22.879,6.0,8,0.0,3.574,48,79.31,60,74.468,14.0,26.0,94.0,136,3.0,3.0,0.0,100,62.5,17.647,24.0,5.0,0.0,24.0,0.0,0.0,3.0,2.875,21.0,70.0
2026-01-21 05:05:04,19.356,PoolNoodle,72.973,26.904,11.0,5,0.0,3.086,57,73.333,60,84.314,16.0,28.0,81.0,111,2.0,4.0,0.0,100,66.667,18.919,21.0,6.0,0.0,21.0,0.0,0.0,5.0,2.714,21.0,60.0
2026-01-22 11:25:41,19.356,PoolNoodle,76.871,26.815,8.0,3,0.0,3.708,53,90.909,73.438,75.41,16.0,24.0,113.0,147,3.0,2.0,1.0,97.368,69.725,25.85,38.0,10.0,0.0,37.0,1.0,0.0,3.0,3.395,21.0,76.0
2026-01-24 08:10:29,19.356,PoolNoodle,74.107,23.068,4.0,8,0.0,3.759,41,93.75,64.583,77.083,17.0,22.0,83.0,112,4.0,1.0,0.0,100,67.416,20.536,23.0,5.0,0.0,23.0,0.0,0.0,2.0,3.652,21.0,60.0
2026-01-26 02:34:36,19.356,PoolNoodle,78.906,24.826,7.0,3,0.0,3.535,49,75,76.364,83.019,14.0,30.0,101.0,128,1.0,5.0,0.0,100,73.786,19.531,25.0,3.0,0.0,25.0,0.0,0.0,5.0,3.52,21.0,76.0
2026-02-02 02:57:10,19.356,PoolNoodle,70.213,27.232,11.0,5,0.0,2.864,46,62.5,65.217,81.25,17.0,28.0,66.0,94,1.0,5.0,0.0,96,60.87,26.596,25.0,14.0,0.0,24.0,1.0,0.0,1.0,2.16,21.0,42.0
