Player ID,Player Name,avg_gr,avg_uf,count
1,atsui,21.457,3.556,10
4,watashiii,72.348,27.275,10
6,Shag,49.652,15.234,3
7,Stunar,72.614,24.822,10
9,shadowpandax,65.699,19.693,10
12,KaoriMaeda,45.253,11.861,10
14,ArronChu,60.194,21.34,10
16,bop,49.387,15.548,10
20,kar72,50.719,12.964,10
21,PoolNoodle,52.369,14.082,10
22,remake,53.328,14.505,4
23,Shuuka,34.579,9.308,1
25,80s,35.985,9.553,5
26,asleep,42.309,10.262,10
27,Deafness,55.613,16.372,10
28,FORTNAYT,54.469,15.513,10
30,revel,45.111,11.777,3
32,Zippy,46.59,12.55,8
33,Tsui,56.321,16.639,10
34,YuriMeguri,61.505,18.667,10
35,Akaze,36.122,9.307,10
36,anonimus_opinion,40.101,8.733,9
37,claydoll1091,33.946,8.595,10
38,Diukes,45.483,12.103,10
41,koroshiya,47.693,13.841,10
43,mkby,36.276,7.587,10
46,Orfey,34.534,8.76,10
47,Renzou,40.068,10.073,10
49,accelerator11,55.446,17.685,10
50,Sniparook,53.293,15.15,10
51,Chata,39.35,8.994,10
52,Thaleko,53.34,13.9,10
53,YoshiOpeninger,25.185,6.877,1
55,bella,45.942,11.823,10
56,Kazaseno,36.696,8.442,5
58,Lika,39.025,11.066,10
59,neoburnz,41.991,9.275,10
64,Yokipi,31.227,6.656,10
65,Baguett,40.53,9.029,10
66,bamboo,33.22,7.088,10
68,EruisKawaii,27.559,5.44,2
69,jube,25.6,5.761,1
70,MahiruShiina,30.298,7.561,10
72,ruuka,32.948,6.851,10
76,comfv,48.112,14.463,10
77,neptune,34.09,6.809,7
78,doomchicken,36.639,8.499,10
79,JuliAless64,40.5,8.421,10
80,moosepi,37.986,7.971,10
81,Pile,33.18,7.062,10
82,ShiinaMahiru,31.556,6.43,4
83,Milar,45.745,11.709,10
84,Alkios,41.303,10.702,10
85,Animerod,28.702,5.592,10
87,Beokros,28.53,5.332,10
88,Emdiel,30.049,7.434,10
90,Keizan,23.105,5.595,10
91,kishua,37.59,9.533,10
92,Kuterin,31.88,7.058,10
95,Pratasz,31.86,5.438,2
97,chaabdu92,28.614,5.786,10
98,Comete,37.517,7.706,10
100,753,32.77,7.372,10
102,MoltenAshes,28.998,5.364,10
103,MrWolf,37.158,10.792,10
104,joey,25.951,6.006,10
105,Zeal_Kido,25.167,5.77,10
106,cafezinho,32.932,7.43,10
107,Cindergoat,12.632,2.818,1
108,Edwardd,25.372,5.834,10
109,Ephemeral,26.999,4.071,10
112,Legitted,30.12,5.389,10
113,Maki04,29.107,4.977,10
114,Mayottatoki,30.658,5.848,10
115,Saiki,22.563,5.232,10
117,Seismic,15.811,3.226,2
119,Fumiii,24.463,4.711,10
120,HiHi,31.966,5.906,4
121,Janoxx,20.609,4.372,10
123,Konsumenci,21.102,3.824,6
124,LelPop,40.937,10.439,10
126,shadismith,24.426,4.864,2
128,apurplenose,33.867,6.394,10
129,peeku,42.14,9.94,10
133,ChrisLefko,28.101,4.635,10
134,Jakemonkey,25.729,4.575,10
137,Mika_tw,20.653,4.104,5
139,benevelante,21.516,3.88,10
141,Gua,23.099,4.466,10
143,mahzrunner,24.314,4.417,10
144,liljakatsuragi,22.73,3.539,10
146,tapumomo,27.939,4.317,10
147,thjalago,15.327,2.505,5
148,uy5gf,19.382,3.438,10
149,Zozo,28.963,4.698,10
150,Bommie,12.593,3.039,1
151,MageFlameFreeze,15.346,2.071,4
153,Poppysr,18.977,3.377,2
155,Unborned,13.543,1.364,7
156,Zental,22.557,4.894,2
157,CM02,13.78,1.277,3
159,legrandort,14.879,1.638,10
160,Skychael,25.418,4.57,10
