Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
1,2026-03-30 13:56:39,5.468,atsui,29.412,5.151,5,7,4,6.273,9,8.824,9.877,7.143,9,10,45,176,72,91,3
4,2026-04-18 07:38:54,23.772,watashiii,83.036,31.438,32,9,1,4.019,76,95.238,85.455,77.778,37,45,127,173,174,161,10
6,2026-03-31 10:11:52,17.296,Shag,36.641,8.321,2,17,0,4.625,14,62.963,43.75,7.5,4,6,48,131,3,3,0
8,2026-04-17 17:36:21,14.177,Hejsan,48.765,11.752,9,48,2,4.902,30,86.364,41.538,55.556,13,18,79,172,56,57,5
9,2026-04-14 07:36:39,22.006,shadowpandax,73.51,25.769,16,31,0,4.847,70,93.103,84.211,60.784,25,43,128,191,55,56,4
12,2026-04-17 14:03:23,14.11,KaoriMaeda,48.855,13.007,10,5,4,5.25,8,65.714,52.83,56,14,18,75,183,86,96,8
14,2026-04-13 14:04:29,21.147,ArronChu,76.415,27.196,26,9,1,4.0,61,82.051,88,76.471,33,39,104,160,98,97,5
16,2026-04-18 07:38:54,12.525,yahallonyanpasu,40.426,14.637,16,33,6,4.196,40,59.459,47.059,40.625,23,17,60,156,52,55,2
20,2026-04-18 07:38:54,16.341,kar72,58.14,14.911,16,6,1,5.3,8,75,62.5,58.824,21,24,100,178,119,137,11
21,2026-04-12 04:56:46,18.263,PoolNoodle,60.448,18.117,16,48,1,4.82,53,76.667,59.375,70.37,19,29,97,171,41,46,1
23,2026-01-17 16:42:16,11.724,Shuuka,47.778,11.873,7,35,2,4.611,22,64,39.024,45.833,10,13,43,129,21,14,0
25,2026-01-29 13:10:54,11.776,80s,45.161,12.641,5,5,1,4.143,22,47.619,40.909,50,10,12,43,135,10,10,1
26,2026-04-14 05:05:01,14.117,asleep,54.128,13.78,8,33,2,4.957,33,68.966,57.377,66.667,19,16,79,172,48,50,6
27,2026-04-10 07:34:26,17.538,Deafness,64.615,19.283,13,8,1,4.826,47,77.778,67.188,64.516,22,28,96,170,51,47,1
28,2026-04-17 07:29:19,18.31,FORTNAYT,64.539,22.187,18,52,1,4.677,53,81.081,74.576,52.381,22,30,99,175,97,97,7
30,2026-03-30 04:38:23,13.751,revel,48.921,14.267,6,15,0,4.309,27,51.282,48.485,47.059,7,19,68,139,3,3,0
32,2026-04-01 14:00:26,15.732,beanman87,49.645,13.285,7,18,2,4.429,29,57.143,39.583,55.102,10,12,70,141,5,7,0
33,2026-04-17 14:03:23,18.561,Tsui,66.434,20.833,19,44,1,4.363,67,84,71.831,61.905,24,40,102,183,135,135,5
35,2026-03-19 04:19:23,12.237,Akaze,33.846,7.184,2,32,4,5.286,11,47.368,26.923,30,4,6,44,159,4,8,0
36,2026-04-11 07:24:55,11.697,anonimus_opinion,44.828,10.228,3,6,1,5.205,8,52.632,55,36.17,8,10,57,150,16,10,2
37,2026-04-18 07:38:54,12.98,claydoll1091,44.737,13.679,9,9,4,5.3,9,48.936,61.702,41.463,14,25,70,175,133,131,9
38,2026-04-18 07:38:54,16.413,Diukes,52.174,16.579,12,9,3,4.661,45,61.905,68.056,9.302,19,22,80,171,127,120,5
41,2026-03-22 07:43:08,15.718,koroshiya,52.482,16.718,11,22,2,4.565,32,55.556,70.149,31.915,16,14,82,167,24,20,3
44,2026-04-01 14:00:26,13.611,Nicole,44.086,11.396,7,5,2,4.647,18,54.545,43.182,42.857,10,7,51,156,7,10,0
46,2026-04-16 00:39:38,11.749,Orfey,44.8,13.538,16,9,4,4.829,6,65.854,43.636,45.946,17,14,56,161,74,75,3
47,2026-04-18 07:38:54,13.118,Renzou,48.921,12.405,10,7,3,5.98,8,60,50,50,13,14,79,178,49,60,2
49,2026-02-04 12:07:51,18.607,accelerator11,61.864,20.685,14,37,1,4.275,47,94.737,55.385,45.946,23,28,83,164,51,49,1
50,2026-04-17 07:29:19,18.199,Sniparook,58.451,17.62,13,45,2,4.724,44,60.606,69.118,56,23,27,92,167,107,104,4
51,2026-04-17 14:03:23,15.162,Chata,52.893,14.035,17,9,2,5.0,37,67.857,54.545,57.5,18,20,78,174,206,170,3
52,2026-04-11 13:56:22,16.487,Thaleko,59.259,16.74,13,37,1,4.718,41,71.429,61.538,60.87,18,18,92,166,34,32,1
58,2026-04-13 14:04:29,14.299,Lika,42.982,9.89,5,5,1,4.564,23,46.429,45.161,40.741,9,7,55,145,12,11,0
59,2026-04-17 14:03:23,14.784,neoburnz,55.696,14.625,13,9,1,5.367,47,74.359,57.746,70.213,18,32,88,175,167,186,13
64,2026-04-15 10:03:16,9.816,Yokipi,36.667,8.062,7,49,3,5.727,9,45.714,6.579,59.574,10,10,55,171,55,73,2
65,2026-03-12 22:28:14,12.0,Baguett,50.413,10.85,10,39,0,4.825,39,77.273,50,44.186,14,25,81,176,17,27,2
66,2026-04-14 05:05:01,11.683,bamboo,37.008,7.902,6,50,3,5.132,6,48.276,33.846,44.681,11,10,53,165,31,53,3
67,2026-04-14 05:05:01,9.0,DKing20,17.708,3.219,0,17,1,4.588,5,20,15.217,20,2,2,17,96,2,3,0
69,2026-02-04 13:43:18,11.876,Jube,28.099,6.805,3,26,0,4.0,14,48.276,20.69,23.529,7,5,34,121,2,4,0
70,2026-04-14 05:05:01,12.039,MahiruShiina,39.241,9.025,7,49,2,5.023,9,54.545,35.135,50,12,10,62,163,30,25,1
72,2026-04-18 07:38:54,11.13,ruuka,40.244,9.809,8,45,3,5.526,8,68.571,35,51.163,12,13,66,167,101,107,4
76,2026-04-10 21:38:08,15.961,comfv,51.773,14.767,14,31,1,5.081,39,91.892,41.935,9.091,18,15,85,166,37,32,0
77,2026-04-09 18:12:32,9.574,neptune,41.481,8.102,9,43,1,5.426,9,51.351,38.889,42.857,14,11,56,156,27,22,2
78,2026-04-18 07:38:54,12.793,doomchicken,39.2,10.609,7,9,2,5.094,24,58.974,40.625,45.833,12,14,63,171,47,54,3
79,2026-04-18 07:38:54,11.971,JuliAless64,47.333,13.224,7,8,2,5.078,29,65.517,50.943,54.545,18,18,75,171,116,121,5
80,2026-04-18 07:38:54,11.754,moosepi,44.755,9.983,6,9,2,5.214,27,57.692,46.429,43.75,10,16,74,187,59,69,3
81,2026-03-07 00:48:43,10.154,Pile,38.194,8.176,5,32,0,4.491,21,65,26.761,30.303,7,9,55,146,9,3,0
82,2026-03-06 05:51:01,9.965,ShiinaMahiru,36.306,6.816,3,43,0,5.035,13,45.714,31.169,37.778,5,7,57,172,6,5,1
83,2026-04-17 17:36:21,14.727,Milar,56.154,16.642,12,38,1,4.581,40,84.375,53.968,50,18,21,80,174,64,65,4
84,2026-04-17 17:36:21,14.585,Alkios,48.819,14.337,15,51,2,5.25,6,79.412,47.917,41.026,17,20,77,179,124,127,9
85,2026-01-24 06:26:17,8.89,Animerod,19.318,2.936,0,20,0,4.765,4,16.667,20.455,19.231,0,2,17,88,1,3,0
86,2026-04-17 17:36:21,3.5,Aryssiel,13.592,1.798,0,15,0,5.357,3,25,2.174,21.622,1,1,14,103,2,3,0
87,2026-04-17 14:03:23,9.857,Beokros,36.8,8.341,8,60,3,4.854,4,48.387,28.75,7.692,9,11,53,170,40,35,4
88,2026-04-16 18:35:33,9.317,Emdiel,34.078,8.646,7,37,3,5.261,4,52.5,34.343,38.235,8,8,61,179,25,27,3
90,2026-03-16 19:05:41,8.539,Keizan,28.571,6.86,9,39,4,4.971,8,54.167,25.333,20,10,10,41,174,21,26,0
91,2026-04-17 17:36:21,12.679,kishua,43.796,11.686,9,39,2,4.934,33,96.774,35.714,47.826,14,17,67,161,69,76,2
92,2026-04-11 13:56:22,10.132,Kuterin,34.815,7.972,5,25,1,4.885,7,51.282,27.586,30.769,7,5,47,153,12,14,1
97,2026-02-09 18:53:08,8.533,chaabdu92,33.684,6.679,3,33,1,5.25,6,54.839,40,8,6,6,42,140,9,11,1
98,2026-03-30 21:39:33,10.873,Comete,50.0,10.798,7,6,2,5.07,7,79.167,41.27,45.161,12,13,71,178,85,74,5
