Tournament Date,Player ID,Player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-09-30,1,Atsui_,15.833,3.31,30.883,0,4.474,6.061,17.021,22.5
2025-10-09,1,Atsui_,19.58,2.703,34.174,0,5.036,21.875,13.043,28.571
2025-10-09,1,Atsui_,18.797,3.489,36.884,1,4.72,27.027,11.667,22.222
2025-10-10,1,Atsui_,19.333,2.951,37.117,2,4.931,15.152,20,21.875
2025-10-14,1,Atsui_,12.389,3.809,25.96,3,3.071,16.667,8.772,15.385
2025-10-14,1,Atsui_,28.431,4.493,34.623,1,5.241,31.034,17.778,42.857
2025-10-15,1,Atsui_,19.424,3.646,35.291,0,4.926,19.565,14.035,27.778
2025-10-16,1,Atsui_,19.728,5.091,30.31,2,4.379,17.5,19.697,21.951
2025-10-17,1,Atsui_,19.048,5.411,28.51,3,3.964,16,18.056,22
2025-11-03,1,Atsui_,20.354,3.326,35.063,3,4.87,28,11.538,27.778
2025-09-13,4,AKl,74.336,23.678,31.076,10,3.726,76.667,78.261,67.568
2025-09-20,4,AKl,74.265,24.445,28.203,15,3.822,81.818,70.968,73.171
2025-09-29,4,AKl,72.561,26.088,28.196,24,3.815,86.047,75,55.556
2025-10-01,4,AKl,73.885,27.828,27.489,10,3.724,79.412,80,58.14
2025-10-24,4,AKl,70.779,24.347,27.012,15,3.477,88.095,69.565,55.814
2025-10-29,4,AKl,62.5,22.172,27.498,16,3.811,62.857,66.154,56.818
2025-10-30,4,AKl,74.627,33.39,26.595,27,3.32,90.909,72.581,64.103
2025-11-01,4,AKl,70.4,29.736,26.964,21,3.216,85.714,64,65
2025-11-02,4,AKl,69.912,27.775,27.132,9,3.709,73.529,71.053,65.854
2025-11-03,4,AKl,68.116,25.625,27.074,22,3.106,84.375,69.014,51.429
2025-09-06,7,Stunar,67.442,20.436,29.614,14,3.483,85.714,73.214,48.889
2025-09-09,7,Stunar,69.403,24.526,29.64,11,3.72,75.758,76.812,46.875
2025-09-13,7,Stunar,71.014,20.664,32.86,10,4,75.758,77.419,58.14
2025-09-20,7,Stunar,68.908,22.374,30.294,10,3.854,92,58.929,68.421
2025-09-20,7,Stunar,72.059,24.929,28.177,17,3.173,81.818,71.875,64.103
2025-10-01,7,Stunar,73.239,29.882,26.244,7,3.471,73.333,77.027,65.789
2025-10-05,7,Stunar,80.851,27.655,28.543,14,3.316,84,86.047,69.231
2025-10-11,7,Stunar,75.0,27.566,27.614,25,3.381,83.871,72.727,72.093
2025-10-14,7,Stunar,70.073,24.227,26.415,26,3.167,75.758,76.923,59.615
2025-10-17,7,Stunar,78.151,25.956,28.73,19,3.452,85.714,86.275,57.576
2025-08-12,9,shadowpandax,67.48,21.426,28.827,7,3.554,70.968,70.69,58.824
2025-08-17,9,shadowpandax,71.963,22.836,27.735,7,3.558,78.788,76.471,52.174
2025-08-26,9,shadowpandax,63.194,17.269,28.29,5,4.022,84.615,71.831,38.298
2025-09-05,9,shadowpandax,74.522,23.261,28.825,6,3.897,85.294,82.051,53.333
2025-09-09,9,shadowpandax,61.417,20.071,28.01,3,3.654,65.385,68.657,44.118
2025-09-13,9,shadowpandax,68.627,20.998,30.342,12,3.857,83.784,75.714,45.652
2025-09-20,9,shadowpandax,62.931,18.423,30.247,5,3.986,76.471,63.462,46.667
2025-10-21,9,shadowpandax,63.448,22.322,26.883,11,3.685,80.645,63.889,50
2025-10-24,9,shadowpandax,65.476,20.318,26.837,11,3.764,76.744,72.368,44.898
2025-11-02,9,shadowpandax,66.667,20.224,30.292,5,4.265,77.5,71.875,51.02
