Szafa, old rank: 9.188, new rank: 9.848, diff: 0.66
Unborned, old rank: 3.329, new rank: 3.899, diff: 0.57
MrWolf, old rank: 12.122, new rank: 12.671, diff: 0.549
Orfey, old rank: 11.287, new rank: 11.638, diff: 0.351
hmsuis, old rank: 9.7, new rank: 10.039, diff: 0.339
koroshiya, old rank: 14.569, new rank: 14.838, diff: 0.269
Yokipi, old rank: 9.565, new rank: 9.787, diff: 0.222
MD22, old rank: 11.254, new rank: 11.47, diff: 0.216
Dry, old rank: 10.591, new rank: 10.801, diff: 0.21
yasashiikumo, old rank: 7.628, new rank: 7.834, diff: 0.206
Legitted, old rank: 8.603, new rank: 8.799, diff: 0.196
FORTNAYT, old rank: 17.562, new rank: 17.683, diff: 0.121
MahiruShiina, old rank: 10.469, new rank: 10.59, diff: 0.121
ruuka, old rank: 9.522, new rank: 9.631, diff: 0.109
uy5gf, old rank: 5.934, new rank: 6.039, diff: 0.105
Saiki, old rank: 8.683, new rank: 8.784, diff: 0.101
Thaleko, old rank: 16.3, new rank: 16.399, diff: 0.099
Provenance, old rank: 8.135, new rank: 8.234, diff: 0.099
Comete, old rank: 10.694, new rank: 10.785, diff: 0.091
ShelterRin, old rank: 6.117, new rank: 6.202, diff: 0.085
VuhrCulls, old rank: 4.599, new rank: 4.678, diff: 0.079
OkitaNobu, old rank: 4.362, new rank: 4.435, diff: 0.073
Alkios, old rank: 12.886, new rank: 12.958, diff: 0.072
florenz, old rank: 10.173, new rank: 10.229, diff: 0.056
oh95, old rank: 10.274, new rank: 10.325, diff: 0.051
zokie, old rank: 6.807, new rank: 6.857, diff: 0.05
Sniparook, old rank: 16.658, new rank: 16.704, diff: 0.046
I_am_stoney, old rank: 8.242, new rank: 8.282, diff: 0.04
HaruUrara, old rank: 9.005, new rank: 9.039, diff: 0.034
ElJuanchi, old rank: 3.872, new rank: 3.895, diff: 0.023
Lakumix, old rank: 8.134, new rank: 8.153, diff: 0.019
chaabdu92, old rank: 9.109, new rank: 9.124, diff: 0.015
ss_r_white_pony, old rank: 5.881, new rank: 5.896, diff: 0.015
Lika, old rank: 12.629, new rank: 12.637, diff: 0.008
Renzou, old rank: 12.103, new rank: 12.102, diff: -0.001
chommy, old rank: 3.475, new rank: 3.464, diff: -0.011
Selaph, old rank: 10.117, new rank: 10.098, diff: -0.019
Jakemonkey, old rank: 7.849, new rank: 7.828, diff: -0.021
watashiii, old rank: 23.283, new rank: 23.258, diff: -0.025
asleep, old rank: 13.637, new rank: 13.609, diff: -0.028
Zozo, old rank: 8.149, new rank: 8.12, diff: -0.029
Milar, old rank: 14.196, new rank: 14.166, diff: -0.03
ShirohaNaruse, old rank: 21.828, new rank: 21.796, diff: -0.032
AnnaYanami, old rank: 7.177, new rank: 7.145, diff: -0.032
YellowRose, old rank: 5.815, new rank: 5.771, diff: -0.044
anicomi, old rank: 4.195, new rank: 4.143, diff: -0.052
FeyFey, old rank: 5.778, new rank: 5.72, diff: -0.058
cafezinho, old rank: 10.892, new rank: 10.832, diff: -0.06
Gua, old rank: 6.434, new rank: 6.373, diff: -0.061
inta, old rank: 4.171, new rank: 4.107, diff: -0.064
channina, old rank: 25.005, new rank: 24.938, diff: -0.067
Spitzell, old rank: 5.166, new rank: 5.084, diff: -0.082
Progenitor, old rank: 8.147, new rank: 8.064, diff: -0.083
claydoll1091, old rank: 11.528, new rank: 11.441, diff: -0.087
uomi, old rank: 9.789, new rank: 9.681, diff: -0.108
kabao, old rank: 6.908, new rank: 6.797, diff: -0.111
kar72, old rank: 14.896, new rank: 14.78, diff: -0.116
Kirox, old rank: 7.809, new rank: 7.683, diff: -0.126
peeku, old rank: 12.95, new rank: 12.818, diff: -0.132
Mayottatoki, old rank: 9.25, new rank: 9.116, diff: -0.134
Deafness, old rank: 18.521, new rank: 18.37, diff: -0.151
neoburnz, old rank: 14.171, new rank: 14.002, diff: -0.169
Nazemeiyue, old rank: 14.406, new rank: 14.214, diff: -0.192
beautiful, old rank: 10.904, new rank: 10.631, diff: -0.273
mahzrunner, old rank: 7.326, new rank: 7.03, diff: -0.296
