Tournament Date,Player ID,Player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-05-08,1,Atsui_,26.891,5.385,37.448,1,4.562,26.087,20.69,36.842
2025-05-09,1,Atsui_,23.256,4.704,33.816,4,4.375,23.077,19.54,30.435
2025-05-10,1,Atsui_,17.742,2.326,38.686,0,5.636,22.857,9.836,28.571
2025-05-10,1,Atsui_,21.233,2.898,41.787,0,5.355,13.333,18.919,30.952
2025-05-11,1,Atsui_,24.265,4.884,32.809,2,5.273,25.714,17.544,31.818
2025-05-11,1,Atsui_,17.647,2.711,42.154,2,5.095,20.69,20,11.429
2025-05-22,1,Atsui_,16.8,3.926,30.1,2,3.905,5.714,12.281,36.364
2025-05-27,1,Atsui_,21.93,4.257,34.561,1,4.72,20.69,14.583,32.432
2025-05-30,1,Atsui_,20.8,3.284,34.999,1,5.462,8.108,15.385,41.667
2025-06-01,1,Atsui_,26.471,4.945,30.798,0,5.422,18.182,22.078,36.667
2025-06-03,1,Atsui_,22.973,4.973,37.833,4,5.294,21.951,22.727,24.39
2025-06-04,1,Atsui_,22.059,4.647,37.06,2,5.1,24.138,16.176,30.769
2025-06-05,1,Atsui_,22.764,3.574,39.992,1,5.821,23.333,25,18.182
2025-06-05,1,Atsui_,21.488,3.605,38.408,0,5.308,16.667,21.429,25.714
2025-06-06,1,Atsui_,16.901,3.562,31.695,1,4.417,22.222,13.75,20
2025-06-27,1,Atsui_,16.783,2.805,36.436,1,5.208,13.514,16.071,20
2025-07-07,1,Dummy_,17.6,2.527,34.125,0,5.136,9.091,22.414,17.647
2025-07-16,1,Dummy_,20.635,4.979,30.729,2,4.5,21.622,18.033,25
2025-07-18,1,Dummy_,24.107,3.85,37.171,2,5.148,14.286,22.222,33.333
2025-07-19,1,Dummy_,22.535,3.806,36.352,1,4.906,12.903,23.333,27.451
2025-07-21,1,Dummy_,20.0,2.841,42.732,1,5.5,20.93,15.789,26.829
2025-07-22,1,Dummy_,26.515,4.67,37.367,1,5.371,25,26.23,29.63
2025-07-23,1,Dummy_,20.382,3.819,38.523,1,4.375,16.667,15.493,30
2025-07-25,1,Dummy_,21.019,2.323,37.661,0,5.879,21.429,18.056,25.581
2025-07-25,1,Dummy_,26.582,5.793,32.386,5,5.167,29.268,23.214,27.869
2025-07-25,1,Dummy_,21.168,4.155,35.096,1,4.552,20.588,17.188,28.205
2025-07-26,1,Dummy_,16.418,3.1,32.994,3,4.455,7.143,13.235,28.947
2025-08-20,1,Dummy_,18.11,4.251,33.962,4,3.957,8.333,17.857,23.404
2025-08-29,1,Dummy_,25.51,4.295,32.461,0,5.32,19.048,28.889,25
2025-08-31,1,Dummy_,19.643,3.93,35.214,1,4.909,13.043,15.686,28.947
2025-09-07,1,Dummy_,22.128,4.019,35.277,2,4.5,23.81,16.162,28.767
2025-09-08,1,Dummy_,17.089,1.885,32.472,0,5.704,19.149,15.068,18.421
2025-09-09,1,Atsui_,18.11,3.72,34.087,1,5,7.692,20.896,20.588
2025-09-18,1,Dummy_,15.385,3.359,33.865,1,4.5,12.121,12.903,22.857
2025-09-18,1,Dummy_,21.053,5.11,33.436,1,4.583,20,19.643,24.242
2025-09-18,1,Dummy_,19.708,3.065,38.135,4,4.963,26.829,10.526,25.641
2025-09-19,1,Dummy_,16.832,5.153,33.22,3,4.059,7.692,16.981,27.273
2025-09-20,1,Dummy_,21.6,4.519,40.129,3,4.815,29.032,19.298,18.919
