Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
1,atsui,19.726,0.6,1.2,4.983,2.8,2.4,136.4,30,26,3,10
4,watashiii,70.611,15.3,0.1,3.509,19.2,27.3,135.1,27,30,1,10
6,Shag,36.641,2.0,0.0,4.625,4.0,6.0,131.0,3,3,0,1
8,Hejsan,41.747,6.3,0.6,4.105,9.9,8.0,134.4,27,26,2,10
9,shadowpandax,71.405,10.4,0.1,3.901,16.2,25.7,144.3,30,25,4,10
12,KaoriMaeda,39.638,4.0,0.4,4.465,7.7,9.8,153.3,26,30,4,10
14,ArronChu,64.991,15.2,0.1,3.453,19.8,26.4,134.0,27,32,1,10
16,yahallonyanpasu,42.453,11.3,1.4,3.404,15.5,13.8,132.9,32,26,0,10
19,Jlin2,53.641,5.0,0.0,4.233,11.5,11.5,138.5,7,12,3,4
20,kar72,47.696,4.8,0.0,4.205,9.5,12.0,144.8,28,26,3,10
21,PoolNoodle,51.704,7.9,0.5,3.909,12.9,16.8,135.8,27,30,0,10
23,Shuuka,33.08,3.857,0.714,4.088,6.429,7.286,111.286,21,14,0,7
25,80s,35.112,3.75,0.25,3.994,7.75,6.5,121.75,10,10,1,4
26,asleep,43.582,4.9,0.4,4.317,8.9,13.0,154.5,33,25,2,10
27,Deafness,56.21,7.5,0.3,3.937,12.5,21.7,150.9,31,26,2,10
28,FORTNAYT,56.489,9.9,0.0,3.882,13.9,19.5,142.7,26,31,2,10
30,revel,48.921,6.0,0.0,4.309,7.0,19.0,139.0,3,3,0,1
31,SakurabaRola,44.116,4.286,0.429,4.35,7.571,11.0,140.429,14,24,2,7
32,beanman87,49.023,7.6,1.2,4.086,12.2,8.8,123.0,15,13,0,5
33,Tsui,55.745,10.5,0.3,3.716,15.4,19.0,146.4,36,20,4,10
34,YuriMeguri,61.37,14.0,0.0,3.023,18.5,19.5,104.0,6,4,0,2
35,Akaze,30.13,2.0,2.0,5.063,3.0,4.0,144.5,4,8,0,2
36,anonimus_opinion,42.358,1.9,0.4,4.648,5.4,8.8,143.8,30,24,4,10
37,claydoll1091,32.72,4.4,0.7,4.222,7.9,8.5,145.2,33,24,3,10
38,Diukes,46.376,8.2,0.3,3.691,12.1,15.8,133.5,29,28,2,10
40,FUCK_AMQ,20.115,1.0,1.0,5.057,5.0,3.0,174.0,2,4,0,1
41,koroshiya,47.388,5.2,0.6,4.27,10.2,9.8,139.1,29,24,4,10
44,Nicole,37.328,3.5,0.75,4.391,6.75,7.25,138.75,10,12,1,4
46,Orfey,35.428,4.3,0.4,4.127,8.2,6.4,132.8,31,28,0,10
47,Renzou,40.461,4.6,0.2,4.484,8.5,5.4,137.6,36,20,1,10
49,accelerator11,49.489,9.3,0.6,3.76,13.1,16.5,132.8,26,27,3,10
50,Sniparook,54.606,7.2,0.2,4.122,11.3,17.8,149.0,26,25,7,10
51,Chata,45.518,7.5,0.5,4.154,10.4,10.0,136.0,25,29,4,10
52,Thaleko,52.324,7.7,0.1,3.917,12.2,15.3,136.4,30,23,4,10
58,Lika,33.478,7.2,0.3,3.854,10.5,8.8,129.2,16,38,4,10
59,neoburnz,44.85,4.6,0.1,4.162,9.5,11.5,132.5,30,24,2,10
64,Yokipi,29.582,3.0,0.0,4.333,6.4,6.2,132.6,27,28,4,10
65,Baguett,42.932,4.8,0.3,4.197,8.0,14.5,145.0,25,31,2,10
66,bamboo,30.193,2.2,0.4,4.608,5.0,5.5,133.1,22,33,2,10
67,DKing20,20.114,0.0,0.5,5.274,2.5,0.75,118.0,8,14,0,4
68,EruisKawaii,18.75,0.0,0.0,4.857,1.0,4.0,112.0,0,5,0,1
69,Jube,28.099,3.0,0.0,4.0,7.0,5.0,121.0,2,4,0,1
70,MahiruShiina,31.139,3.9,1.0,4.406,7.2,5.6,129.1,27,27,2,10
72,ruuka,31.525,2.0,0.3,4.528,4.7,4.9,126.8,22,31,4,10
76,comfv,42.74,4.9,0.3,4.35,9.5,9.7,143.4,36,22,0,10
77,neptune,31.981,2.1,0.5,4.583,5.6,5.4,139.5,26,27,3,10
78,doomchicken,36.585,3.5,0.5,4.205,7.4,6.3,117.7,32,25,1,10
79,JuliAless64,40.542,2.6,0.3,4.591,6.4,8.7,149.2,23,32,4,10
80,moosepi,37.916,3.5,0.0,4.616,7.1,5.2,134.8,26,31,0,10
81,Pile,34.532,3.0,0.25,4.437,5.5,6.75,136.25,14,9,0,4
82,ShiinaMahiru,33.621,1.75,0.0,4.679,6.0,5.75,152.0,14,7,2,4
83,Milar,44.084,5.3,0.3,4.082,9.2,10.6,131.3,27,28,3,10
84,Alkios,39.373,6.4,0.4,4.05,10.4,11.6,145.1,30,28,2,10
85,Animerod,21.061,2.0,1.0,4.61,3.0,2.667,122.333,6,9,0,3
86,Aryssiel,13.592,0.0,0.0,5.357,1.0,1.0,103.0,2,3,0,1
87,Beokros,27.486,2.9,0.9,4.424,5.7,6.2,143.0,31,20,6,10
88,Emdiel,28.776,3.1,0.6,4.359,6.1,5.5,130.8,26,30,2,10
90,Keizan,23.954,3.0,1.667,4.7,4.778,4.333,134.444,24,29,0,9
91,Baikinman,38.65,5.3,0.6,4.191,8.1,9.9,134.8,28,27,1,10
92,Kuterin,25.903,3.4,0.7,4.234,7.4,5.3,140.0,25,32,1,10
97,chaabdu92,29.518,3.0,0.9,4.533,5.0,5.3,136.8,24,32,4,10
98,Comete,40.851,3.1,0.3,4.382,6.0,8.6,134.0,36,20,1,10
100,IrinaShidou,31.606,2.3,0.5,4.784,4.5,4.7,134.1,25,28,1,10
102,MoltenAshes,27.521,1.889,0.222,4.827,5.333,2.444,131.667,24,28,1,9
103,mrwolf2,37.281,4.5,1.1,4.371,7.9,8.0,141.9,30,28,1,10
104,joey,26.241,2.9,1.2,4.678,4.6,4.2,136.7,24,32,1,10
105,Zeal_Kido,22.133,2.833,0.833,4.386,5.167,4.5,144.833,18,15,2,6
106,cafezinho,36.811,4.1,0.4,4.205,7.1,5.9,128.8,30,27,1,10
107,Cindergoat,12.166,1.0,1.333,4.643,2.333,2.667,141.0,8,9,1,3
112,Legitted,32.943,2.6,0.6,4.8,5.1,5.9,148.4,30,26,4,10
113,Maki04,29.514,1.2,1.3,4.959,3.3,3.3,131.4,23,31,1,10
114,Mayottatoki,30.93,1.1,0.7,4.876,3.5,3.4,132.8,24,32,1,10
115,Saiki,23.764,3.8,0.6,4.234,6.2,5.7,135.0,25,31,2,10
119,Fumiii,26.201,2.1,0.5,4.771,4.6,2.6,128.9,22,31,3,10
120,HiHi,32.462,3.4,0.4,4.39,5.5,7.4,136.3,31,26,1,10
121,Janoxx,21.239,1.8,0.6,4.57,4.2,3.4,133.7,23,29,4,10
123,Konsumenci,22.298,1.5,1.4,4.595,4.0,2.9,121.8,27,27,2,10
124,LelPop,40.228,5.7,0.4,4.102,8.9,10.1,137.0,27,28,3,10
125,paperyoshi10,27.941,6.0,0.0,3.763,9.0,9.0,136.0,2,2,1,1
128,apurplenose,35.117,2.8,0.8,4.469,6.5,6.9,134.4,28,29,2,10
129,peeku,39.676,3.0,0.0,4.41,7.6,6.4,140.3,30,26,2,10
133,ChrisLefko,25.157,1.4,1.4,4.966,3.1,3.3,137.2,24,32,2,10
134,Jakemonkey,29.275,1.0,0.3,4.882,3.0,4.2,140.4,29,24,4,10
139,benevelante,21.912,0.5,1.25,5.022,3.5,2.5,128.0,14,9,0,4
141,Gua,25.866,3.7,1.0,4.368,5.5,5.9,132.4,29,28,1,10
143,mahzrunner,26.295,2.4,0.5,4.667,4.8,2.6,133.2,32,25,2,10
144,liljakatsuragi,23.472,0.8,0.9,4.881,3.1,3.2,134.2,27,29,2,10
146,tapumomo,25.918,2.167,0.667,4.86,4.5,2.333,131.833,15,17,2,6
147,thjalago,21.186,0.0,2.0,4.72,3.0,1.0,118.0,4,2,0,1
148,uy5gf,20.816,0.5,0.5,5.208,3.5,2.0,139.0,6,6,0,2
149,Zozo,28.618,1.3,1.0,5.048,4.4,4.0,148.9,30,23,5,10
150,Bommie,8.911,1.0,1.0,5.0,1.0,1.0,101.0,1,4,0,1
154,Sayuriii,8.654,0.0,0.0,5.667,1.0,0.0,104.0,3,2,0,1
155,Unborned,18.944,0.7,1.3,5.37,1.9,1.8,139.8,27,30,2,10
159,legrandort,15.326,0.625,1.5,5.312,1.125,1.625,130.375,23,20,1,8
160,Skychael,28.201,2.6,0.7,4.64,5.4,4.3,135.4,33,21,5,10
166,gw13,17.086,0.667,0.333,5.19,2.0,0.333,129.667,9,8,0,3
168,Lightning,19.43,0.429,1.429,5.583,2.0,1.143,133.286,19,18,2,7
169,yashadox,19.021,0.3,0.5,5.341,1.2,1.6,129.2,24,31,2,10
171,JustAWeirdo,12.676,0.0,0.0,5.611,1.0,0.0,142.0,3,1,1,1
172,oolli,13.438,0.5,0.5,5.28,2.0,0.5,143.5,6,6,0,2
174,TateyamaAyano,10.597,0.333,1.0,5.532,1.333,0.333,141.0,10,8,0,3
175,Kirox,27.302,1.6,0.1,4.847,3.2,3.0,131.4,28,28,2,10
176,Spitzell,26.389,5.0,0.0,4.5,6.0,6.0,144.0,2,4,0,1
177,oh95,31.572,2.0,0.4,4.716,3.7,7.0,133.7,27,29,1,10
178,Eryth,70.642,15.7,0.0,3.352,21.5,27.9,127.0,26,30,1,10
179,Floth,20.194,1.5,1.6,4.638,4.0,2.6,122.1,21,33,1,10
180,psirockin,15.319,0.5,1.75,4.992,1.75,2.0,142.0,12,12,0,4
181,Yolowolf75,17.647,1.0,0.0,4.722,4.0,0.0,102.0,2,3,0,1
191,redeyes,24.317,0.7,1.2,5.012,2.8,2.6,134.2,25,28,3,10
194,Math1234,46.829,3.5,0.0,4.284,9.0,15.0,146.5,7,4,1,2
199,BijouKoseki,16.992,0.7,0.3,5.281,2.2,1.9,135.0,24,33,3,10
201,rorf,21.944,1.8,1.5,4.741,3.2,3.6,132.1,23,36,0,10
214,Torradinhas,19.052,1.5,0.0,4.742,3.0,1.5,135.0,5,6,0,2
217,ShelterRin,21.112,1.1,0.3,4.88,2.4,3.3,128.3,26,27,2,10
221,Neumann,32.021,2.5,0.7,4.717,5.9,4.7,146.6,36,21,1,10
223,VuhrCulls,14.902,0.5,2.3,5.476,1.9,1.3,141.5,31,23,3,10
225,MythAndroid,13.681,0.5,2.5,5.39,2.0,0.25,120.0,9,8,3,4
228,Dry,31.47,5.1,0.6,4.057,7.9,8.4,136.0,29,28,1,10
230,BigSmo,26.163,1.8,0.5,4.973,4.4,3.2,141.7,32,24,2,10
236,Serozero,18.15,0.7,1.4,5.166,2.8,1.3,135.7,30,24,3,10
238,Progenitor,26.992,2.2,0.3,4.636,4.5,4.0,130.8,24,31,2,10
241,yasashiikumo,27.924,2.0,0.6,4.734,3.6,3.1,136.1,25,30,2,10
244,KNotAnyMore,23.529,5.0,0.0,3.438,8.0,7.0,136.0,4,2,0,1
247,Shadow,13.42,0.571,1.143,4.73,2.286,1.429,126.429,17,23,0,7
248,eternity,33.525,7.75,1.0,3.572,11.75,7.5,115.25,12,11,0,4
250,md22,33.027,3.4,1.0,4.71,5.5,5.1,139.5,24,31,3,10
253,Rhummy,8.676,1.0,2.0,5.083,1.667,0.333,125.667,6,9,2,3
259,Patoche49,18.054,0.571,0.571,5.25,2.286,1.857,135.286,23,14,2,7
260,AnotherWish,20.415,2.5,2.167,4.292,4.5,4.5,134.167,12,19,3,6
263,Tvaz,21.497,1.8,0.4,4.682,3.5,3.1,128.1,36,19,3,10
265,LaggyGlassySky,24.351,2.5,2.5,4.265,6.5,6.0,141.5,6,4,1,2
268,civiltwlight,54.868,8.3,0.2,3.872,14.0,16.2,145.9,28,27,5,10
269,icefeed2,17.255,1.0,1.333,5.157,2.0,2.0,136.667,4,11,1,3
271,mitsorubi,9.834,1.0,1.25,5.442,1.25,0.75,113.0,8,11,2,4
274,Mami,40.694,4.2,0.6,4.339,8.5,11.9,148.9,25,30,4,10
275,Kryuell,34.188,2.2,0.1,4.493,5.1,7.0,134.1,28,28,0,10
276,hmsuis,33.888,2.8,0.1,4.571,5.8,5.8,139.7,28,30,2,10
277,chemist,29.442,2.5,0.6,4.567,5.4,4.9,145.7,31,26,3,10
282,akatsuki,69.189,14.6,0.2,3.36,20.0,22.1,116.6,29,24,2,10
285,miiarad,25.025,2.125,0.125,4.665,4.5,5.0,137.125,18,28,1,8
286,Lakumix,26.64,3.9,1.0,4.528,6.9,4.0,136.7,25,32,3,10
289,Provenance,27.579,2.2,0.3,4.552,4.9,4.8,136.4,27,30,2,10
291,ss_r_white_pony,19.3,1.3,0.5,5.004,3.3,2.4,136.5,29,26,3,10
292,FeyFey,19.794,1.5,1.2,4.758,2.8,2.9,134.4,24,33,2,10
301,channina,79.393,18.4,0.1,3.501,24.3,29.1,133.3,26,30,2,10
307,kaededayo,35.712,2.9,0.2,4.649,6.6,4.9,145.6,27,27,4,10
311,beautiful,41.14,3.8,0.4,4.425,7.5,9.5,133.6,25,32,2,10
316,HakuiKoyori,14.994,0.6,2.1,5.272,1.2,2.0,136.7,24,29,5,10
317,Hyo,25.33,2.25,0.75,4.444,6.0,4.5,139.5,14,9,0,4
318,Nephirea,26.148,0.667,1.0,4.746,3.0,5.0,129.0,9,9,0,3
320,YunnN,24.274,1.333,0.667,4.868,2.667,3.333,114.0,10,6,0,3
321,jaimeywea,26.318,1.5,0.25,5.032,3.125,2.125,140.375,21,22,2,8
322,Catge,15.527,0.4,1.0,5.489,1.2,1.6,128.6,28,32,0,10
