Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
1,atsui,62.75,0.209,0.197,0.0,1.2,0.431,2.8,2.4,136.4,108,121,8,10,30,26,3,62.75
4,watashiii,137.04,0.457,0.706,0.004,0.1,0.642,19.2,27.3,135.1,207,202,11,10,27,30,1,137.04
6,Shag,85.53,0.285,0.366,0.0,0.0,0.482,4.0,6.0,131.0,3,3,0,1,3,3,0,85.53
8,Hejsan,98.23,0.327,0.417,0.001,0.6,0.556,9.9,8.0,134.4,114,123,8,10,27,26,2,98.23
9,shadowpandax,132.29,0.441,0.714,0.002,0.1,0.586,16.2,25.7,144.3,99,89,8,10,30,25,4,132.29
12,KaoriMaeda,90.94,0.303,0.396,0.001,0.4,0.505,7.7,9.8,153.3,146,163,15,10,26,30,4,90.94
14,ArronChu,131.92,0.44,0.65,0.004,0.1,0.65,19.8,26.4,134.0,205,188,7,10,27,32,1,131.92
16,yahallonyanpasu,108.85,0.363,0.425,0.003,1.4,0.657,15.5,13.8,132.9,173,126,7,10,32,26,0,108.85
19,Jlin2,108.9,0.363,0.536,0.001,0.0,0.538,11.5,11.5,138.5,7,12,3,4,7,12,3,108.9
20,kar72,103.04,0.343,0.477,0.001,0.0,0.542,9.5,12.0,144.8,183,194,18,10,28,26,3,103.04
21,PoolNoodle,111.45,0.371,0.517,0.002,0.5,0.584,12.9,16.8,135.8,65,73,1,10,27,30,0,111.45
23,Shuuka,89.33,0.298,0.331,0.001,0.714,0.559,6.429,7.286,111.286,21,14,0,7,21,14,0,89.33
25,80s,92.76,0.309,0.351,0.001,0.25,0.572,7.75,6.5,121.75,10,10,1,4,10,10,1,92.76
26,asleep,97.16,0.324,0.436,0.001,0.4,0.526,8.9,13.0,154.5,118,100,8,10,33,25,2,97.16
27,Deafness,115.76,0.386,0.562,0.002,0.3,0.58,12.5,21.7,150.9,107,97,5,10,31,26,2,115.76
28,FORTNAYT,116.88,0.39,0.565,0.002,0.0,0.588,13.9,19.5,142.7,193,187,12,10,26,31,2,116.88
30,revel,102.91,0.343,0.489,0.001,0.0,0.527,7.0,19.0,139.0,3,3,0,1,3,3,0,102.91
31,SakurabaRola,97.25,0.324,0.441,0.001,0.429,0.521,7.571,11.0,140.429,14,24,2,7,14,24,2,97.25
32,beanman87,106.18,0.354,0.49,0.002,1.2,0.559,12.2,8.8,123.0,15,13,0,5,15,13,0,106.18
33,Tsui,118.42,0.395,0.557,0.002,0.3,0.612,15.4,19.0,146.4,219,200,12,10,36,20,4,118.42
34,YuriMeguri,134.17,0.447,0.614,0.004,0.0,0.711,18.5,19.5,104.0,6,4,0,2,6,4,0,134.17
35,Akaze,72.59,0.242,0.301,0.0,2.0,0.42,3.0,4.0,144.5,4,8,0,2,4,8,0,72.59
36,anonimus_opinion,91.2,0.304,0.424,0.0,0.4,0.479,5.4,8.8,143.8,36,27,5,10,30,24,4,91.2
37,claydoll1091,87.07,0.29,0.327,0.001,0.7,0.54,7.9,8.5,145.2,212,198,17,10,33,24,3,87.07
38,Diukes,108.9,0.363,0.464,0.002,0.3,0.616,12.1,15.8,133.5,286,283,19,10,29,28,2,108.9
40,FUCK_AMQ,62.13,0.207,0.201,0.0,1.0,0.42,5.0,3.0,174.0,2,4,0,1,2,4,0,62.13
41,koroshiya,101.82,0.339,0.474,0.001,0.6,0.533,10.2,9.8,139.1,31,28,4,10,29,24,4,101.82
44,Nicole,89.54,0.298,0.373,0.001,0.75,0.516,6.75,7.25,138.75,10,12,1,4,10,12,1,89.54
46,Orfey,91.24,0.304,0.354,0.001,0.4,0.553,8.2,6.4,132.8,140,132,6,10,31,28,0,91.24
47,Renzou,91.56,0.305,0.405,0.001,0.2,0.502,8.5,5.4,137.6,100,104,4,10,36,20,1,91.56
49,accelerator11,111.23,0.371,0.495,0.002,0.6,0.606,13.1,16.5,132.8,67,65,3,10,26,27,3,111.23
50,Sniparook,111.5,0.372,0.546,0.002,0.2,0.554,11.3,17.8,149.0,140,144,11,10,26,25,7,111.5
51,Chata,101.53,0.338,0.455,0.002,0.5,0.549,10.4,10.0,136.0,279,251,13,10,25,29,4,101.53
52,Thaleko,111.98,0.373,0.523,0.002,0.1,0.583,12.2,15.3,136.4,77,65,5,10,30,23,4,111.98
58,Lika,93.07,0.31,0.335,0.002,0.3,0.592,10.5,8.8,129.2,49,75,4,10,16,38,4,93.07
59,neoburnz,100.66,0.336,0.448,0.001,0.1,0.548,9.5,11.5,132.5,231,253,19,10,30,24,2,100.66
64,Yokipi,82.21,0.274,0.296,0.001,0.0,0.524,6.4,6.2,132.6,106,121,6,10,27,28,4,82.21
65,Baguett,98.15,0.327,0.429,0.001,0.3,0.543,8.0,14.5,145.0,27,35,2,10,25,31,2,98.15
66,bamboo,79.0,0.263,0.302,0.001,0.4,0.485,5.0,5.5,133.1,41,64,4,10,22,33,2,79.0
67,DKing20,59.09,0.197,0.201,0.0,0.5,0.389,2.5,0.75,118.0,8,14,0,4,8,14,0,59.09
68,EruisKawaii,63.46,0.212,0.188,0.0,0.0,0.449,1.0,4.0,112.0,0,5,0,1,0,5,0,63.46
69,Jube,85.29,0.284,0.281,0.001,0.0,0.571,7.0,5.0,121.0,2,4,0,1,2,4,0,85.29
70,MahiruShiina,82.85,0.276,0.311,0.001,1.0,0.513,7.2,5.6,129.1,41,35,2,10,27,27,2,82.85
72,ruuka,81.51,0.272,0.315,0.0,0.3,0.496,4.7,4.9,126.8,123,138,8,10,22,31,4,81.51
76,comfv,95.82,0.319,0.427,0.001,0.3,0.521,9.5,9.7,143.4,47,34,0,10,36,22,0,95.82
77,neptune,81.22,0.271,0.32,0.0,0.5,0.488,5.6,5.4,139.5,40,36,3,10,26,27,3,81.22
78,doomchicken,91.36,0.305,0.366,0.001,0.5,0.542,7.4,6.3,117.7,89,89,6,10,32,25,1,91.36
79,JuliAless64,90.1,0.3,0.405,0.001,0.3,0.487,6.4,8.7,149.2,208,212,21,10,23,32,4,90.1
80,moosepi,87.03,0.29,0.379,0.001,0.0,0.483,7.1,5.2,134.8,109,109,6,10,26,31,0,87.03
81,Pile,85.95,0.287,0.345,0.001,0.25,0.509,5.5,6.75,136.25,14,9,0,4,14,9,0,85.95
82,ShiinaMahiru,81.59,0.272,0.336,0.0,0.0,0.474,6.0,5.75,152.0,14,7,2,4,14,7,2,81.59
83,Milar,100.98,0.337,0.441,0.001,0.3,0.56,9.2,10.6,131.3,130,144,12,10,27,28,3,100.98
84,Alkios,96.49,0.322,0.394,0.001,0.4,0.564,10.4,11.6,145.1,222,223,17,10,30,28,2,96.49
85,Animerod,69.38,0.231,0.211,0.001,1.0,0.484,3.0,2.667,122.333,6,9,0,3,6,9,0,69.38
86,Aryssiel,51.08,0.17,0.136,0.0,0.0,0.378,1.0,1.0,103.0,2,3,0,1,2,3,0,51.08
87,Beokros,78.73,0.262,0.275,0.001,0.9,0.511,5.7,6.2,143.0,58,47,8,10,31,20,6,78.73
88,Emdiel,81.0,0.27,0.288,0.001,0.6,0.52,6.1,5.5,130.8,44,49,3,10,26,30,2,81.0
90,Keizan,71.18,0.237,0.24,0.001,1.667,0.471,4.778,4.333,134.444,24,29,0,9,24,29,0,71.18
91,Baikinman,93.76,0.313,0.386,0.001,0.6,0.544,8.1,9.9,134.8,105,105,4,10,28,27,1,93.76
92,Kuterin,79.73,0.266,0.259,0.001,0.7,0.538,7.4,5.3,140.0,29,37,2,10,25,32,1,79.73
97,chaabdu92,79.35,0.265,0.295,0.001,0.9,0.495,5.0,5.3,136.8,39,53,6,10,24,32,4,79.35
98,Comete,93.36,0.311,0.409,0.001,0.3,0.517,6.0,8.6,134.0,85,74,5,10,36,20,1,93.36
100,IrinaShidou,78.03,0.26,0.316,0.001,0.5,0.459,4.5,4.7,134.1,49,50,2,10,25,28,1,78.03
102,MoltenAshes,73.14,0.244,0.275,0.0,0.222,0.453,5.333,2.444,131.667,24,28,1,9,24,28,1,73.14
103,mrwolf2,89.79,0.299,0.373,0.001,1.1,0.518,7.9,8.0,141.9,62,52,4,10,30,28,1,89.79
104,joey,73.89,0.246,0.262,0.001,1.2,0.475,4.6,4.2,136.7,89,119,5,10,24,32,1,73.89
105,Zeal_Kido,73.64,0.245,0.221,0.001,0.833,0.516,5.167,4.5,144.833,18,15,2,6,18,15,2,73.64
106,cafezinho,91.61,0.305,0.368,0.001,0.4,0.542,7.1,5.9,128.8,120,118,9,10,30,27,1,91.61
107,Cindergoat,59.55,0.199,0.122,0.0,1.333,0.48,2.333,2.667,141.0,8,9,1,3,8,9,1,59.55
112,Legitted,79.21,0.264,0.329,0.001,0.6,0.457,5.1,5.9,148.4,47,47,6,10,30,26,4,79.21
113,Maki04,73.37,0.245,0.295,0.0,1.3,0.434,3.3,3.3,131.4,72,66,2,10,23,31,1,73.37
114,Mayottatoki,76.01,0.253,0.309,0.0,0.7,0.446,3.5,3.4,132.8,143,157,9,10,24,32,1,76.01
115,Saiki,77.49,0.258,0.238,0.001,0.6,0.538,6.2,5.7,135.0,273,257,12,10,25,31,2,77.49
119,Fumiii,72.54,0.242,0.262,0.001,0.5,0.461,4.6,2.6,128.9,132,147,9,10,22,31,3,72.54
120,HiHi,84.44,0.281,0.325,0.001,0.4,0.516,5.5,7.4,136.3,99,91,4,10,31,26,1,84.44
121,Janoxx,70.12,0.234,0.212,0.0,0.6,0.49,4.2,3.4,133.7,60,53,4,10,23,29,4,70.12
123,Konsumenci,70.88,0.236,0.223,0.0,1.4,0.486,4.0,2.9,121.8,37,36,4,10,27,27,2,70.88
124,LelPop,96.66,0.322,0.402,0.001,0.4,0.557,8.9,10.1,137.0,80,68,5,10,27,28,3,96.66
125,paperyoshi10,88.49,0.295,0.279,0.001,0.0,0.605,9.0,9.0,136.0,2,2,1,1,2,2,1,88.49
