Tournament Date,Player ID,Player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-02-04,1,Atsui_,11.2,1.442,36.453,0,5.357,7.143,9.524,17.647
2025-02-05,1,Atsui_,30.147,5.949,33.809,3,4.732,17.857,29.851,39.024
2025-02-07,1,Atsui_,13.74,2.119,33.256,0,5.722,13.043,15.942,10.256
2025-02-08,1,Atsui_,23.75,4.237,31.749,0,4.579,35,17.949,23.81
2025-02-09,1,Atsui_,16.667,4.446,33.772,0,4.143,16.129,13.462,20.93
2025-02-09,1,Atsui_,23.776,4.682,32.824,1,4.676,31.429,16.129,28.261
2025-02-10,1,Atsui_,20.0,4.133,34.975,3,4.387,16.279,19.048,24.49
2025-02-14,1,Atsui_,15.646,3.787,32.092,2,4.957,14.286,12.329,23.077
2025-02-18,1,Atsui_,19.708,3.459,36.516,0,5.037,25.926,17.647,19.048
2025-02-18,1,Atsui_,17.708,3.916,30.244,2,4.471,20.833,13.333,22.222
2025-02-19,1,Atsui_,16.814,2.842,32.381,0,4.737,16.129,11.321,27.586
2025-02-19,1,Atsui_,29.197,5.565,34.647,2,5.075,25,24.242,45.161
2025-02-20,1,Atsui_,23.656,3.874,42.237,0,4.909,25,16.667,34.783
2025-02-20,1,Atsui_,27.642,4.632,36.708,2,5.118,36,25,26.19
2025-02-21,1,Atsui_,22.4,4.053,30.524,1,5.107,10.345,23.214,30
2025-02-21,1,Atsui_,19.835,3.566,36.131,1,5.25,23.077,19.608,16.129
2025-03-04,1,Atsui_,12.389,2.774,28.481,1,4.214,13.333,12.963,10.345
2025-03-06,1,Atsui_,17.742,1.887,41.174,0,6.061,20.69,12.644,24.39
2025-03-12,1,Atsui_,24.528,4.149,32.884,4,4.41,17.143,22.989,35.135
2025-03-13,1,Atsui_,19.328,2.26,37.57,0,5.652,14.706,17.857,27.586
2025-03-14,1,Atsui_,16.832,2.655,36.602,1,5,22.727,15.217,15.152
2025-03-14,1,Atsui_,24.806,3.759,42.284,1,5,27.778,22.581,25.806
2025-03-15,1,Atsui_,29.365,5.243,36.409,1,5.216,36.364,22.034,35.294
2025-03-17,1,Atsui_,23.684,3.862,34.61,1,5.037,31.034,12.245,33.333
2025-03-18,1,Atsui_,24.0,4.401,33.39,5,4.667,28.947,16.216,34.211
2025-03-18,1,Atsui_,22.84,3.277,39.588,1,5.378,24.324,16.216,31.373
2025-03-19,1,Atsui_,16.239,2.382,36.778,0,5.158,23.529,10,18.182
2025-03-20,1,Atsui_,19.298,2.942,35.085,0,4.727,25,15.385,21.053
2025-03-20,1,Atsui_,28.0,4.193,40.685,0,5.257,33.333,23.636,30
2025-03-21,1,Atsui_,26.786,5.311,41.975,2,4.733,39.394,19.643,26.087
2025-03-22,1,Atsui_,17.886,3.635,35.677,0,4.818,22.222,9.524,30.303
2025-03-24,1,Atsui_,18.243,2.389,39.622,0,5.481,11.905,15.152,30
2025-03-24,1,Atsui_,20.0,3.721,36.888,2,5.077,27.586,10.145,34.375
2025-03-25,1,Atsui_,29.464,3.91,38.57,0,5.03,20,21.569,51.613
2025-03-26,1,Atsui_,24.855,3.158,38.557,0,5.837,22.581,21.875,32.609
2025-03-26,1,Atsui_,26.812,4.459,34.139,1,5.27,25.714,25,31.429
2025-03-26,1,Atsui_,18.898,5.381,31.597,5,3.625,5.556,20.968,21.277
2025-03-27,1,Atsui_,21.97,3.641,35.866,0,5.379,17.647,16.667,37.5
2025-03-27,1,Atsui_,21.605,4.523,37.704,6,4.6,17.5,15.854,37.5
