,Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
,kar72,53.509,,25.394,6,3.803,,,
,Noru,38.596,,29.8,1,4.273,,,
,SPYAIR,23.684,,31.745,0,5,,,
,Atsui_,20.175,,31.019,1,5.348,,,
,,,,,,,,,
,2023-11-29,,,,,,,,
,Mikasaaaaaaa,55.856,,25.299,10,3.387,83.333,64,27.027
,ruuka,32.432,,33.161,3,4.583,50,22,35.135
,Atsui_,23.423,,32.858,4,4.308,16.667,22,29.73
,Mika_tw,22.523,,36.11,2,5.12,33.333,20,18.919
,,,,,,,,,
,2023-11-29,,,,,,,,
,kar72,47.5,,31.016,2,4.456,62.5,47.458,37.838
,koroshiya,45,,30.726,2,4.426,50,49.153,35.135
,yahallonyanpasu,44.167,,24.451,12,3.679,41.667,49.153,37.838
,yashadox,15,,48.969,0,5.889,25,15.254,8.108
,,,,,,,,,
,2023-11-29,,,,,,,,
,ArronChu,59.259,,23.841,13,3.531,69.231,63.265,45.455
,Tsui,50.893,,24.588,7,3.737,83.333,41.86,35.897
,KaoriMaeda,49.074,,27.476,1,4.094,46.154,48.98,51.515
,neoburnz,45,,29.669,2,4.302,59.375,40,42.105
,SakurabaRola,44.828,,27.858,4,4.269,47.222,41.176,48.276
,Rissa,43.678,,25.629,6,3.737,52.941,43.902,37.931
,Diukes,43.103,,27.326,3,4.44,47.222,54.902,17.241
,revel_,42.574,,26.145,4,3.767,52.174,35.714,44.444
,anonimus_opinion,41.379,,28.735,5,3.889,70.588,43.902,20.69
,FUCK_AMQ,39.286,,29.401,5,4.159,53.333,25.581,43.59
,ruuka,37.624,,29.588,2,4.342,52.174,30.952,36.111
,Chata,37.143,,28.11,2,4.327,28.125,40,39.474
,SPYAIR,37.069,,30.977,2,4.767,50,33.333,27.586
,Delete,31.429,,31.896,1,4.773,34.375,27.143,36.842
,Emdiel,29.885,,30.295,2,4.308,17.647,34.146,31.034
,Sjoe,29.703,,26.28,5,4.033,26.087,30.952,30.556
,ilmatar,29.464,,31.837,1,4.727,26.667,18.605,43.59
,THE_USUAL,25.743,,32.719,0,4.731,30.435,19.048,30.556
,mahzrunner,19.828,,35.821,0,5.478,27.778,11.765,24.138
,OnlyWorldDaiStar,17.857,,40.87,0,6.1,36.667,11.628,10.256
,YueyeTW,17.593,,32.988,1,4.947,15.385,20.408,15.152
,apurplenose,17.241,,35.158,0,4.933,17.647,19.512,13.793
,yashadox,15,,40.242,1,6.048,25,8.571,18.421
,benevelante,12.963,,37.2,0,5.714,11.538,16.327,9.091
,,,,,,,,,
,2023-11-30,,,,,,,,
,KaoriMaeda,54.098,,30.138,6,3.879,62.5,47.541,58.621
,peeku,46.721,,31.156,4,4.053,53.125,47.541,37.931
,ArronChu,43.564,,26.576,10,3.545,40.909,52.381,35.135
,anonimus_opinion,41.803,,29.983,2,4.216,84,34.483,25.641
,revel_,41.045,,27.711,9,3.782,44.118,41.538,37.143
,Lilyholic,37.705,,28.906,9,4.022,48,34.483,35.897
,ruuka,34.328,,32.031,1,4.217,50,27.692,31.429
,GodSaiHugeFan,25.743,,36.723,1,4.885,36.364,21.429,24.324
,Mika_tw,23.77,,35.641,1,4.759,28.125,24.59,17.241
,apurplenose,23.77,,36.596,0,5.138,40,20.69,17.949
,THE_USUAL,23.762,,32.673,2,4.708,40.909,19.048,18.919
,SaikiChan,20.896,,30.086,5,3.714,32.353,18.462,14.286
,Skychael,15.574,,32.009,2,4.211,15.625,14.754,17.241
,denero,12.871,,38.098,1,5.615,13.636,11.905,13.514
,yashadox,11.475,,37.21,0,5.429,12,8.621,15.385
,IAmAsianNoob,11.404,,40.913,0,5.769,10,12.963,10
,,,,,,,,,
,2023-12-01,,,,,,,,
,Shuuka,51.22,,28.877,5,3.968,59.259,43.86,56.41
,GyroInmobile,46.154,,26.027,3,3.852,68.966,42.593,32.353
,comfv,36.697,,26.795,4,3.975,78.571,27.451,13.333
,Rissa,35.78,,25.169,7,3.564,42.857,39.216,23.333
,MahiruShiina,33.333,,33.116,2,4.585,25.926,28.07,46.154
,AnimeroD,27.35,,28.582,2,4.281,41.379,20.37,26.471
,JOEY_,26.829,,31.25,4,4.545,14.815,31.579,28.205
,SPYAIR,26.496,,28.456,3,4.355,27.586,29.63,20.588
,Fumiii,24.39,,40.611,1,5.467,25.926,24.561,23.077
,LelPop,23.077,,30.477,4,4,24.138,22.222,23.529
,Janoxx,19.266,,26.731,1,4.762,32.143,19.608,6.667
,Zeal_Kido,16.514,,35.026,1,5.056,17.857,19.608,10
,,,,,,,,,
,2023-12-01,,,,,,,,
,asleep,48.276,,30.276,12,3.917,58.333,46.269,38.298
,Rissa,44.828,,28.311,3,3.969,62.162,39.13,38.462
,SUS_DOMESTICUS,42.759,,28.317,5,3.919,54.054,42.029,33.333
,peeku,37.356,,34.24,2,4.677,56.667,28.358,25.532
,Himemiya,28.161,,38.966,2,5.286,48.333,14.925,21.277
,Edwardd,19.31,,34.966,2,4.607,43.243,10.145,12.821
,apurplenose,17.241,,37.354,0,5.12,27.027,20.29,2.564
,Skychael,17.241,,40.31,0,5.667,25,13.433,12.766
,,,,,,,,,
