I_dont_like_loli, old rank: 72.43, new rank: 88.2, diff: 15.77
keysha18, old rank: 88.118, new rank: 95.397, diff: 7.279
Alkios, old rank: 105.85, new rank: 112.693, diff: 6.843
rna, old rank: 95.84, new rank: 100.88, diff: 5.04
yahallonyanpasu, old rank: 125.737, new rank: 130.764, diff: 5.027
molneya, old rank: 81.69, new rank: 86.68, diff: 4.99
potatoedtoast, old rank: 82.94, new rank: 87.61, diff: 4.67
Unborned, old rank: 77.97, new rank: 82.448, diff: 4.478
legrandort, old rank: 90.137, new rank: 94.428, diff: 4.291
kar72, old rank: 133.108, new rank: 136.566, diff: 3.458
VuhrCulls, old rank: 95.704, new rank: 98.96, diff: 3.256
ChrisLefko, old rank: 93.65, new rank: 96.872, diff: 3.222
anatharax, old rank: 87.264, new rank: 90.332, diff: 3.068
Catge, old rank: 95.531, new rank: 98.396, diff: 2.865
Porte, old rank: 96.194, new rank: 98.856, diff: 2.662
inta, old rank: 90.904, new rank: 93.447, diff: 2.543
xeyz, old rank: 83.836, new rank: 86.377, diff: 2.541
paperyoshi10, old rank: 107.992, new rank: 110.414, diff: 2.422
Milar, old rank: 130.458, new rank: 132.868, diff: 2.41
Caramel36, old rank: 81.58, new rank: 83.986, diff: 2.406
MythAndroid, old rank: 82.418, new rank: 84.603, diff: 2.185
AkatsukiKirika, old rank: 76.763, new rank: 78.892, diff: 2.129
BigSmo, old rank: 89.22, new rank: 91.14, diff: 1.92
ss_r_white_pony, old rank: 111.916, new rank: 113.584, diff: 1.668
hakohoka, old rank: 68.816, new rank: 70.41, diff: 1.594
Pile, old rank: 110.053, new rank: 111.359, diff: 1.306
2skr, old rank: 97.234, new rank: 98.481, diff: 1.247
hmsuis, old rank: 110.656, new rank: 111.704, diff: 1.048
Mami, old rank: 123.16, new rank: 124.127, diff: 0.967
Kyuuuu, old rank: 91.787, new rank: 92.746, diff: 0.959
FORTNAYT, old rank: 167.24, new rank: 168.05, diff: 0.81
Stunar, old rank: 164.59, new rank: 165.36, diff: 0.77
watashiii, old rank: 173.824, new rank: 174.574, diff: 0.75
YuriMeguri, old rank: 161.9, new rank: 162.63, diff: 0.73
Janoxx, old rank: 105.766, new rank: 106.493, diff: 0.727
neoburnz, old rank: 140.142, new rank: 140.848, diff: 0.706
Whales6978, old rank: 67.087, new rank: 67.77, diff: 0.683
pxmacaiah, old rank: 70.75, new rank: 71.43, diff: 0.68
Komari, old rank: 130.643, new rank: 131.3, diff: 0.657
PoolNoodle, old rank: 150.732, new rank: 151.345, diff: 0.613
chiabobo, old rank: 59.713, new rank: 60.305, diff: 0.592
ElJuanchi, old rank: 83.414, new rank: 83.995, diff: 0.581
ArronChu, old rank: 150.29, new rank: 150.85, diff: 0.56
LordGrond, old rank: 89.475, new rank: 89.979, diff: 0.504
Swapin, old rank: 108.674, new rank: 109.125, diff: 0.451
civiltwlight, old rank: 141.212, new rank: 141.622, diff: 0.41
Thaleko, old rank: 145.563, new rank: 145.95, diff: 0.387
psirockin, old rank: 87.403, new rank: 87.778, diff: 0.375
Sniparook, old rank: 135.97, new rank: 136.31, diff: 0.34
revel, old rank: 134.49, new rank: 134.81, diff: 0.32
Gabetin, old rank: 92.109, new rank: 92.408, diff: 0.299
Tsui, old rank: 137.839, new rank: 138.132, diff: 0.293
bamboo, old rank: 116.813, new rank: 117.105, diff: 0.292
neptune, old rank: 134.034, new rank: 134.285, diff: 0.251
kabigon, old rank: 130.16, new rank: 130.41, diff: 0.25
kaededayo, old rank: 129.712, new rank: 129.933, diff: 0.221
Lika, old rank: 131.716, new rank: 131.927, diff: 0.211
Renzou, old rank: 126.09, new rank: 126.28, diff: 0.19
ac9123, old rank: 103.42, new rank: 103.27, diff: -0.15
Skychael, old rank: 105.879, new rank: 105.723, diff: -0.156
Baikinman, old rank: 106.221, new rank: 106.064, diff: -0.157
Orfey, old rank: 103.38, new rank: 103.22, diff: -0.16
sharet, old rank: 103.33, new rank: 103.17, diff: -0.16
YunnN, old rank: 102.74, new rank: 102.58, diff: -0.16
IDeja, old rank: 102.6, new rank: 102.43, diff: -0.17
_nadeshiko, old rank: 103.411, new rank: 103.238, diff: -0.173
kabao, old rank: 112.243, new rank: 112.067, diff: -0.176
chaabdu92, old rank: 101.49, new rank: 101.31, diff: -0.18
Dry, old rank: 101.08, new rank: 100.89, diff: -0.19
zokie, old rank: 100.22, new rank: 100.022, diff: -0.198
FUCK_AMQ, old rank: 100.38, new rank: 100.18, diff: -0.2
fiftypercentweeb, old rank: 100.08, new rank: 99.88, diff: -0.2
jaimeywea, old rank: 104.705, new rank: 104.504, diff: -0.201
Andrey_K, old rank: 104.481, new rank: 104.278, diff: -0.203
Bommie, old rank: 95.223, new rank: 95.018, diff: -0.205
ShiinaMahiru, old rank: 129.969, new rank: 129.759, diff: -0.21
tskr, old rank: 97.855, new rank: 97.638, diff: -0.217
anonimus_opinion, old rank: 99.3, new rank: 99.08, diff: -0.22
Keizan, old rank: 103.918, new rank: 103.693, diff: -0.225
chemist, old rank: 95.481, new rank: 95.253, diff: -0.228
Animerod, old rank: 98.73, new rank: 98.5, diff: -0.23
Isekaijoucho, old rank: 98.709, new rank: 98.479, diff: -0.23
Konsumenci, old rank: 99.052, new rank: 98.796, diff: -0.256
md22, old rank: 99.153, new rank: 98.884, diff: -0.269
Jube, old rank: 95.44, new rank: 95.16, diff: -0.28
FeyFey, old rank: 98.119, new rank: 97.837, diff: -0.282
Kirox, old rank: 102.809, new rank: 102.51, diff: -0.299
KNotAnyMore, old rank: 97.787, new rank: 97.481, diff: -0.306
oolli, old rank: 95.055, new rank: 94.747, diff: -0.308
Lightning, old rank: 86.188, new rank: 85.873, diff: -0.315
Patoche49, old rank: 89.306, new rank: 88.987, diff: -0.319
Bullymel36, old rank: 92.59, new rank: 92.27, diff: -0.32
Vr0003, old rank: 87.306, new rank: 86.986, diff: -0.32
OkitaNobu, old rank: 95.85, new rank: 95.525, diff: -0.325
BijouKoseki, old rank: 96.739, new rank: 96.399, diff: -0.34
Yolowolf75, old rank: 94.159, new rank: 93.818, diff: -0.341
thjalago, old rank: 90.37, new rank: 90.02, diff: -0.35
Loomi, old rank: 88.844, new rank: 88.49, diff: -0.354
YellowRose, old rank: 87.789, new rank: 87.428, diff: -0.361
ranny, old rank: 85.015, new rank: 84.64, diff: -0.375
SaoriHayami, old rank: 79.95, new rank: 79.568, diff: -0.382
rinshantsumo, old rank: 88.16, new rank: 87.77, diff: -0.39
benevelante, old rank: 87.97, new rank: 87.58, diff: -0.39
MisheruDesu, old rank: 87.53, new rank: 87.14, diff: -0.39
Feynox_, old rank: 86.82, new rank: 86.41, diff: -0.41
atsui, old rank: 86.64, new rank: 86.23, diff: -0.41
CM02, old rank: 92.314, new rank: 91.896, diff: -0.418
uy5gf, old rank: 84.5, new rank: 84.06, diff: -0.44
Goko8765, old rank: 84.33, new rank: 83.89, diff: -0.44
Nefregar, old rank: 76.195, new rank: 75.755, diff: -0.44
Spitzell, old rank: 103.608, new rank: 103.159, diff: -0.449
Efe, old rank: 83.79, new rank: 83.33, diff: -0.46
icefeed2, old rank: 83.38, new rank: 82.92, diff: -0.46
HakuiKoyori, old rank: 83.35, new rank: 82.89, diff: -0.46
anicomi, old rank: 83.876, new rank: 83.396, diff: -0.48
Shiku, old rank: 82.45, new rank: 81.97, diff: -0.48
Megu29, old rank: 81.12, new rank: 80.63, diff: -0.49
pekorrat, old rank: 79.23, new rank: 78.71, diff: -0.52
SIXSEVEN, old rank: 77.424, new rank: 76.899, diff: -0.525
lotte_616, old rank: 70.822, new rank: 70.297, diff: -0.525
Luna, old rank: 81.886, new rank: 81.359, diff: -0.527
Cindergoat, old rank: 77.71, new rank: 77.17, diff: -0.54
yonyon, old rank: 77.63, new rank: 77.09, diff: -0.54
Spartric, old rank: 83.403, new rank: 82.862, diff: -0.541
Zarelyyyx, old rank: 77.44, new rank: 76.89, diff: -0.55
l_elf10, old rank: 76.61, new rank: 76.05, diff: -0.56
medley_n8tes, old rank: 76.55, new rank: 75.99, diff: -0.56
Pengvinen, old rank: 76.33, new rank: 75.77, diff: -0.56
Dovixx, old rank: 73.982, new rank: 73.403, diff: -0.579
Tsuni, old rank: 75.02, new rank: 74.44, diff: -0.58
ThePieGod, old rank: 74.2, new rank: 73.61, diff: -0.59
Loirinzz, old rank: 72.95, new rank: 72.33, diff: -0.62
gw13, old rank: 72.93, new rank: 72.31, diff: -0.62
Aryssiel, old rank: 100.149, new rank: 99.523, diff: -0.626
JaneRemover, old rank: 71.78, new rank: 71.14, diff: -0.64
Nunuchu42, old rank: 63.872, new rank: 63.227, diff: -0.645
Mayottatoki, old rank: 97.134, new rank: 96.486, diff: -0.648
Wiwmek, old rank: 69.25, new rank: 68.58, diff: -0.67
OSXtrafton, old rank: 68.15, new rank: 67.46, diff: -0.69
RyoutaVN, old rank: 104.039, new rank: 103.347, diff: -0.692
Nomu, old rank: 66.818, new rank: 66.124, diff: -0.694
