comfv, Last month elo: 12.11, this month elo: 14.18, diff: 2.07
Milar, Last month elo: 15.078, this month elo: 16.314, diff: 1.236
neptune, Last month elo: 14.433, this month elo: 15.509, diff: 1.076
kabao, Last month elo: 8.351, this month elo: 9.388, diff: 1.037
Vr0003, Last month elo: 9.328, this month elo: 10.279, diff: 0.951
ShelterRin, Last month elo: 10.901, this month elo: 11.849, diff: 0.948
Kyuuuu, Last month elo: 9.116, this month elo: 9.973, diff: 0.857
Wuffles, Last month elo: 14.386, this month elo: 15.221, diff: 0.835
YunnN, Last month elo: 9.618, this month elo: 10.439, diff: 0.821
Mayottatoki, Last month elo: 12.373, this month elo: 13.186, diff: 0.813
Konsumenci, Last month elo: 10.893, this month elo: 11.643, diff: 0.75
Fumiii, Last month elo: 13.204, this month elo: 13.933, diff: 0.729
kaededayo, Last month elo: 13.635, this month elo: 14.36, diff: 0.725
I_dont_like_loli, Last month elo: 8.537, this month elo: 9.243, diff: 0.706
MizukiNana, Last month elo: 12.182, this month elo: 12.876, diff: 0.694
oh95, Last month elo: 14.226, this month elo: 14.902, diff: 0.676
Swapin, Last month elo: 11.412, this month elo: 12.025, diff: 0.613
Shiku, Last month elo: 8.406, this month elo: 9.012, diff: 0.606
ShiratoriAmaha, Last month elo: 14.779, this month elo: 15.382, diff: 0.603
legrandort, Last month elo: 8.873, this month elo: 9.47, diff: 0.597
neoburnz, Last month elo: 17.029, this month elo: 17.603, diff: 0.574
ss_r_white_pony, Last month elo: 11.141, this month elo: 11.699, diff: 0.558
AnotherWish, Last month elo: 9.6, this month elo: 10.156, diff: 0.556
hmsuis, Last month elo: 12.03, this month elo: 12.515, diff: 0.485
FORTNAYT, Last month elo: 19.574, this month elo: 20.049, diff: 0.475
Zental, Last month elo: 13.377, this month elo: 13.823, diff: 0.446
anicomi, Last month elo: 6.999, this month elo: 7.436, diff: 0.437
Kawada6, Last month elo: 14.532, this month elo: 14.96, diff: 0.428
uy5gf, Last month elo: 9.912, this month elo: 10.335, diff: 0.423
CipherKai, Last month elo: 11.628, this month elo: 12.045, diff: 0.417
lakumix, Last month elo: 11.29, this month elo: 11.705, diff: 0.415
Pile, Last month elo: 12.287, this month elo: 12.701, diff: 0.414
PoolNoodle, Last month elo: 20.004, this month elo: 20.407, diff: 0.403
JuliAless64, Last month elo: 15.182, this month elo: 15.568, diff: 0.386
Renzou, Last month elo: 16.07, this month elo: 16.451, diff: 0.381
Floth, Last month elo: 13.649, this month elo: 14.015, diff: 0.366
inta, Last month elo: 8.062, this month elo: 8.417, diff: 0.355
VuhrCulls, Last month elo: 9.553, this month elo: 9.9, diff: 0.347
Bofu, Last month elo: 16.207, this month elo: 16.548, diff: 0.341
Shadow, Last month elo: 10.388, this month elo: 10.728, diff: 0.34
Ephemeral, Last month elo: 12.791, this month elo: 13.126, diff: 0.335
Wolbachia, Last month elo: 11.344, this month elo: 11.668, diff: 0.324
benevelante, Last month elo: 10.126, this month elo: 10.445, diff: 0.319
AitsukiNakuru, Last month elo: 11.802, this month elo: 12.113, diff: 0.311
bella, Last month elo: 16.471, this month elo: 16.771, diff: 0.3
cafezinho, Last month elo: 13.828, this month elo: 14.113, diff: 0.285
Comete, Last month elo: 12.791, this month elo: 13.074, diff: 0.283
Dry, Last month elo: 11.601, this month elo: 11.879, diff: 0.278
Thaleko, Last month elo: 18.528, this month elo: 18.799, diff: 0.271
Patoche49, Last month elo: 8.82, this month elo: 9.089, diff: 0.269
Tsuni, Last month elo: 6.446, this month elo: 6.709, diff: 0.263
Torradinhas, Last month elo: 10.8, this month elo: 11.055, diff: 0.255
miiarad, Last month elo: 11.098, this month elo: 11.348, diff: 0.25
rorf, Last month elo: 12.381, this month elo: 12.626, diff: 0.245
sssthnoob, Last month elo: 10.873, this month elo: 11.116, diff: 0.243
Python, Last month elo: 12.913, this month elo: 13.146, diff: 0.233
Bommie, Last month elo: 11.061, this month elo: 11.284, diff: 0.223
Lightning, Last month elo: 10.272, this month elo: 10.493, diff: 0.221
Nefregar, Last month elo: 8.86, this month elo: 9.078, diff: 0.218
DKing20, Last month elo: 12.996, this month elo: 13.207, diff: 0.211
psirockin, Last month elo: 8.599, this month elo: 8.802, diff: 0.203
ChrisLefko, Last month elo: 10.194, this month elo: 10.387, diff: 0.193
Emdiel, Last month elo: 14.811, this month elo: 15.002, diff: 0.191
Catge, Last month elo: 8.168, this month elo: 8.349, diff: 0.181
Skychael, Last month elo: 10.777, this month elo: 10.948, diff: 0.171
MD22, Last month elo: 9.667, this month elo: 9.837, diff: 0.17
ranny, Last month elo: 8.759, this month elo: 8.927, diff: 0.168
Provenance, Last month elo: 11.045, this month elo: 11.212, diff: 0.167
_nadeshiko, Last month elo: 11.805, this month elo: 11.971, diff: 0.166
Zozo, Last month elo: 10.412, this month elo: 10.566, diff: 0.154
Serozero, Last month elo: 10.156, this month elo: 10.293, diff: 0.137
liljakatsuragi, Last month elo: 11.422, this month elo: 11.558, diff: 0.136
AnnaYanami, Last month elo: 10.57, this month elo: 10.7, diff: 0.13
Diukes, Last month elo: 14.813, this month elo: 14.933, diff: 0.12
JustAWeirdo, Last month elo: 8.079, this month elo: 8.197, diff: 0.118
