Tournament Date,Player ID,Player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-06-03,1,Atsui_,33.766,8.336,28.146,3,4.269,22.727,26.087,46.032
2025-06-06,1,Atsui_,30.894,7.561,29.832,0,4.368,6.667,32.432,42.857
2025-06-30,1,Atsui_,32.653,9.791,28.695,2,4.094,26.316,26.829,42.105
2025-07-05,1,Dummy_,39.535,9.337,29.567,2,4.412,5.882,36.207,53.704
2025-07-22,1,Dummy_,41.322,9.718,28.653,2,4.14,29.63,30.769,61.905
2025-07-22,1,Dummy_,29.703,7.791,27.215,2,4.067,20,24.324,38.636
2025-09-09,1,Atsui_,32.653,9.466,29.648,3,4.281,23.077,23.81,44.186
2025-05-10,4,poyoyoyoyo,73.585,23.482,28.062,4,3.769,88.889,76.923,65.306
2025-07-26,4,poyoyoyoyo,83.158,27.282,24.421,6,3.785,88.235,85.106,77.419
2025-09-02,4,AKl,68.142,24.949,26.698,10,3.623,80,68.421,61.111
2025-11-01,4,AKl,66.667,28.576,26.949,9,3.312,78.261,63.636,62.069
2025-11-07,4,AKl,72.222,28.094,28.511,5,3.415,85.714,72.973,62.5
2025-11-16,4,AKl,77.876,34.772,25.057,9,2.898,78.947,86.957,68.75
2025-06-07,12,KaoriMaeda,61.538,19.385,29.186,7,3.889,62.5,64.151,57.5
2025-09-11,12,KaoriMaeda,63.889,20.709,27.37,6,3.812,73.684,56,69.231
2025-10-30,12,KaoriMaeda,62.136,24.779,28.73,4,3.531,52.941,60.87,67.5
2025-11-05,12,KaoriMaeda,65.217,22.892,27.077,4,3.778,60,65.517,67.273
2025-11-11,12,KaoriMaeda,61.818,17.039,27.44,2,4.627,65.714,55.714,66.667
2025-11-15,12,KaoriMaeda,63.281,19.658,27.952,6,3.901,79.31,53.846,63.83
2025-10-16,16,yahallonyanpasu,54.348,17.58,26.356,7,4.133,62.069,56.897,47.059
2025-10-30,16,yahallonyanpasu,47.107,21.027,24.672,8,3.719,57.895,47.368,42.222
2025-11-01,16,yahallonyanpasu,58.571,23.094,25.966,6,3.5,73.913,63.158,48.333
2025-11-04,16,yahallonyanpasu,61.538,26.652,25.03,9,2.938,80,57.895,56.522
2025-11-05,16,yahallonyanpasu,48.485,19.967,26.226,7,3.312,58.333,52.5,42.553
2025-11-05,16,yahallonyanpasu,54.545,21.913,25.893,8,3.444,65,55.814,47.222
2025-07-06,20,kkura_,61.818,18.26,27.024,4,4.059,65,68.085,53.488
2025-07-26,20,kkura_,58.333,24.123,26.428,6,3.095,73.333,70.37,40
2025-08-05,20,kar72,68.966,15.123,30.496,0,4.312,94.737,64,63.83
2025-08-14,20,kar72,61.957,23.841,26.904,4,3.175,47.059,71.795,58.333
2025-10-10,20,kar72,63.725,21.183,29.199,4,3.923,45.833,68.889,69.697
2025-10-16,20,kar72,71.053,21.47,28.763,5,4.222,73.684,78.261,63.265
2025-10-23,20,kar72,59.483,16.929,27.302,3,4.275,76.471,46.809,65.385
2025-10-25,20,kar72,67.48,21.682,27.821,6,3.892,63.636,78.947,61.905
2025-11-07,20,kkura_,64.957,18.532,30.318,2,4.105,80,65.217,60.714
2025-11-15,20,kkura_,59.559,19.433,25.528,3,4.42,50,67.273,56.604
2025-08-25,21,PoolNoodle,71.901,24.439,26.87,9,3.598,66.667,66.667,80.435
2025-08-25,21,PoolNoodle,70.968,23.275,27.187,7,3.682,66.667,74.419,70.37
2025-08-27,21,PoolNoodle,71.171,26.791,27.239,11,3.481,60.714,64.444,86.842
2025-08-27,21,PoolNoodle,74.725,27.138,27.87,6,3.485,90.909,64.103,80.488
2025-09-01,21,PoolNoodle,75.591,22.572,27.585,6,3.625,72.222,70.492,83.333
