Tournament Date,Player ID,Player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-06-03,1,Atsui_,33.766,8.336,28.146,3,4.269,22.727,26.087,46.032
2025-06-06,1,Atsui_,30.894,7.561,29.832,0,4.368,6.667,32.432,42.857
2025-06-30,1,Atsui_,32.653,9.791,28.695,2,4.094,26.316,26.829,42.105
2025-07-05,1,Dummy_,39.535,9.337,29.567,2,4.412,5.882,36.207,53.704
2025-07-22,1,Dummy_,41.322,9.718,28.653,2,4.14,29.63,30.769,61.905
2025-07-22,1,Dummy_,29.703,7.791,27.215,2,4.067,20,24.324,38.636
2025-09-09,1,Atsui_,32.653,9.466,29.648,3,4.281,23.077,23.81,44.186
2025-11-18,1,Atsui_,37.748,9.411,28.253,3,4.123,25,31.667,45.333
2025-12-15,1,Atsui_,34.286,7.052,31.377,1,4.75,17.647,24,55.263
2025-12-01,3,ShenduFanboy1,82.353,27.005,27.232,7,3.827,89.474,84,78
2025-07-26,4,poyoyoyoyo,83.158,27.282,24.421,6,3.785,88.235,85.106,77.419
2025-09-02,4,AKl,68.142,24.949,26.698,10,3.623,80,68.421,61.111
2025-11-01,4,AKl,66.667,28.576,26.949,9,3.312,78.261,63.636,62.069
2025-11-07,4,AKl,72.222,28.094,28.511,5,3.415,85.714,72.973,62.5
2025-11-16,4,AKl,77.876,34.772,25.057,9,2.898,78.947,86.957,68.75
2025-11-25,4,AKl,72.222,28.327,25.59,13,3.253,86.364,69.231,69.231
2025-12-06,4,AKl,74.699,28.562,26.076,6,3.323,88.235,79.412,62.5
2025-12-10,4,AKl,78.261,33.118,25.986,9,3.083,81.818,81.081,72.727
2025-12-08,7,Stunar,76.531,28.095,26.669,5,2.987,87.5,80.952,67.5
2025-12-09,7,Stunar,76.744,31.699,27.277,17,2.97,94.737,73.529,69.697
2025-06-07,12,KaoriMaeda,61.538,19.385,29.186,7,3.889,62.5,64.151,57.5
2025-09-11,12,KaoriMaeda,63.889,20.709,27.37,6,3.812,73.684,56,69.231
2025-10-30,12,KaoriMaeda,62.136,24.779,28.73,4,3.531,52.941,60.87,67.5
2025-11-05,12,KaoriMaeda,65.217,22.892,27.077,4,3.778,60,65.517,67.273
2025-11-11,12,KaoriMaeda,61.818,17.039,27.44,2,4.627,65.714,55.714,66.667
2025-11-15,12,KaoriMaeda,63.281,19.658,27.952,6,3.901,79.31,53.846,63.83
2025-11-21,12,KaoriMaeda,69.697,21.804,29.499,8,3.837,84.615,60.465,69.841
2025-12-08,12,KaoriMaeda,70.139,20.677,27.759,4,3.881,67.857,66.129,75.926
2025-08-27,13,SUS_AMOGUS,60.714,18.115,27.703,3,3.971,66.667,55.102,63.889
2025-10-16,16,yahallonyanpasu,54.348,17.58,26.356,7,4.133,62.069,56.897,47.059
2025-10-30,16,yahallonyanpasu,47.107,21.027,24.672,8,3.719,57.895,47.368,42.222
2025-11-01,16,yahallonyanpasu,58.571,23.094,25.966,6,3.5,73.913,63.158,48.333
2025-11-04,16,yahallonyanpasu,61.538,26.652,25.03,9,2.938,80,57.895,56.522
2025-11-05,16,yahallonyanpasu,48.485,19.967,26.226,7,3.312,58.333,52.5,42.553
2025-11-05,16,yahallonyanpasu,54.545,21.913,25.893,8,3.444,65,55.814,47.222
2025-06-14,18,GyroInmobile,60.769,15.502,29.38,4,4.342,57.692,72,51.852
2025-07-06,18,GyroInmobile,61.194,15.515,26.716,5,4.427,77.273,66.102,49.057
2025-06-13,20,kkura_,54.545,15.152,26.947,3,4.13,45.455,50,60.87
2025-07-04,20,kar72,71.654,22.918,27.401,8,3.736,80,69.492,69.767
2025-07-06,20,kkura_,61.818,18.26,27.024,4,4.059,65,68.085,53.488
