Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
1.0,atsui,31.517,1.75,0.5,4.379,4.0,5.0,13.0,8.0,0.0,13.75,20.25,16.5,2.75,3.25,0.75,0.5,0.25,3.527,106.25,4
4.0,watashiii,71.331,9.333,0.0,3.474,18.5,23.833,21.0,11.0,0.0,55.333,33.333,67.167,11.833,11.0,2.333,3.5,1.667,3.046,124.333,6
7.0,Stunar,85.437,4.0,0.0,3.136,13.0,38.0,3.0,2.0,0.0,29.0,59.0,30.0,1.0,6.0,0.0,1.0,2.0,3.333,103.0,1
8.0,Hejsan,44.602,1.5,0.5,4.175,6.5,11.25,11.0,8.0,1.0,29.25,20.75,41.25,12.0,6.75,2.75,2.75,0.0,3.508,112.25,4
14.0,ArronChu,66.139,10.5,0.75,3.602,16.5,24.25,10.0,11.0,3.0,25.75,69.5,28.25,2.5,11.25,1.25,0.5,3.25,2.264,144.5,4
16.0,yahallonyanpasu,41.602,9.1,0.7,2.79,12.9,15.0,27.0,25.0,1.0,20.8,22.6,28.4,7.6,10.9,2.1,2.1,1.3,2.269,103.6,10
20.0,kar72,63.881,4.9,0.0,3.684,11.4,21.7,25.0,25.0,3.0,34.4,42.3,41.8,7.4,6.2,1.8,2.2,1.1,3.31,120.1,10
21.0,PoolNoodle,71.039,7.6,0.0,3.462,15.2,26.6,29.0,26.0,0.0,24.3,64.5,25.4,1.1,9.4,0.5,0.3,2.4,2.838,124.2,10
23.0,Shuuka,35.593,5.0,0.0,3.286,9.0,10.0,4.0,2.0,0.0,23.0,19.0,40.0,17.0,8.0,4.0,2.0,1.0,2.45,118.0,1
28.0,FORTNAYT,77.321,8.0,0.0,3.526,19.5,27.5,8.0,4.0,0.0,43.5,53.5,44.5,1.0,11.0,0.5,0.5,2.0,3.372,125.5,2
30.0,revel,55.441,6.5,0.0,3.583,13.5,14.5,6.0,4.0,0.0,33.0,26.5,35.5,2.5,7.5,0.0,1.0,0.5,3.174,107.0,2
33.0,Tsui,59.878,4.0,0.1,3.859,12.0,20.0,32.0,21.0,1.0,23.0,52.3,27.0,4.0,5.7,1.3,0.6,1.5,3.288,126.1,10
34.0,YuriMeguri,71.538,5.0,0.0,3.645,20.0,24.0,5.0,1.0,0.0,36.0,57.0,41.0,5.0,5.0,2.0,3.0,2.0,3.122,130.0,1
36.0,anonimus_opinion,48.092,2.0,0.0,4.444,3.0,7.0,3.0,2.0,0.0,33.0,30.0,45.0,12.0,5.0,1.0,3.0,0.0,3.889,131.0,1
37.0,claydoll1091,43.684,5.7,0.1,3.91,10.4,9.4,24.0,30.0,1.0,20.3,33.9,25.8,5.5,9.7,2.2,1.1,0.9,2.732,124.0,10
38.0,Diukes,48.954,5.0,1.0,3.848,8.0,14.0,5.0,5.0,1.0,36.5,26.0,53.5,17.0,10.0,2.5,4.0,0.5,3.268,128.0,2
40.0,FUCK_AMQ,32.432,4.0,0.333,3.716,7.667,6.333,16.0,16.0,0.0,22.333,11.0,35.667,13.333,5.167,1.667,3.0,0.167,3.074,103.0,6
45.0,Noru,55.992,5.25,0.25,3.994,9.0,9.5,13.0,7.0,0.0,34.75,24.5,40.75,6.0,7.75,0.75,2.0,0.0,3.51,105.25,4
46.0,Orfey,35.567,3.571,0.571,3.567,7.143,9.571,20.0,20.0,0.0,26.429,16.0,37.571,11.143,6.571,2.571,2.857,0.0,2.916,119.429,7
47.0,Renzou,52.281,5.286,0.0,3.772,11.571,10.429,18.0,18.0,1.0,37.0,24.714,42.429,5.429,8.286,1.857,1.286,0.286,3.154,117.857,7
49.0,accelerator11,38.017,3.0,3.0,4.304,10.0,6.0,4.0,1.0,0.0,27.0,19.0,56.0,29.0,8.0,4.0,9.0,0.0,3.179,121.0,1
50.0,Sniparook,61.457,8.0,0.0,3.788,12.333,20.667,8.0,7.0,1.0,52.333,34.667,64.667,12.333,11.667,3.0,4.667,1.333,3.132,142.0,3
51.0,Chata,53.599,5.3,0.4,4.07,10.4,11.7,26.0,24.0,2.0,33.2,35.2,37.7,4.5,5.6,1.0,1.0,1.5,3.734,127.7,10
52.0,Thaleko,66.73,5.3,0.0,3.981,12.3,18.9,31.0,20.0,3.0,36.6,47.9,39.9,3.3,6.3,1.1,0.7,1.3,3.644,126.8,10
58.0,Lika,45.011,10.7,0.4,3.314,13.7,12.3,29.0,28.0,0.0,27.6,22.8,29.0,1.4,9.8,0.7,0.3,0.9,2.589,111.2,10
59.0,neoburnz,64.58,5.5,0.1,3.923,11.8,20.1,34.0,22.0,0.0,42.5,40.1,44.7,2.2,6.6,1.2,0.6,0.7,3.82,127.9,10
66.0,bamboo,43.216,4.8,0.4,3.584,9.5,11.5,24.0,29.0,1.0,25.3,23.2,26.0,0.7,7.1,0.4,0.1,0.6,3.093,111.6,10
67.0,DKing20,40.938,3.6,0.2,4.109,8.3,7.0,25.0,29.0,2.0,28.1,23.4,31.0,2.9,5.3,0.5,0.8,0.5,3.725,126.5,10
69.0,Jube,34.409,2.0,0.0,4.125,6.0,4.0,2.0,3.0,0.0,18.0,14.0,24.0,6.0,3.0,2.0,1.0,0.0,3.167,93.0,1
70.0,MahiruShiina,50.993,4.9,0.1,3.863,9.9,11.6,29.0,24.0,0.0,44.1,14.0,53.1,9.0,8.0,2.3,2.6,0.0,3.412,114.2,10
72.0,ruuka,43.984,2.9,0.0,3.756,7.6,11.3,32.0,23.0,0.0,30.9,19.4,47.4,16.5,5.5,2.6,4.2,0.4,3.09,114.5,10
77.0,neptune,55.352,5.1,0.1,3.731,12.2,13.0,30.0,23.0,1.0,41.9,23.4,45.1,3.2,5.4,1.0,0.7,0.8,3.412,118.0,10
78.0,doomchicken,50.305,3.4,0.1,3.892,8.3,14.6,26.0,27.0,1.0,41.3,22.0,47.2,5.9,6.2,1.2,1.1,0.9,3.759,125.6,10
79.0,JuliAless64,55.207,4.333,0.222,3.909,8.556,14.667,21.0,23.0,1.0,38.556,21.556,45.556,7.0,7.222,1.111,2.556,0.333,3.553,108.556,9
80.0,moosepi,52.248,3.1,0.0,3.966,8.7,13.4,25.0,29.0,1.0,37.6,26.5,47.6,10.0,6.0,1.2,2.5,0.5,3.586,122.9,10
81.0,Pile,46.0,4.2,0.0,3.841,8.8,11.4,31.0,24.0,1.0,36.8,20.5,56.0,19.2,9.5,6.1,3.3,0.3,2.936,124.8,10
82.0,ShiinaMahiru,56.067,4.2,0.2,3.734,10.0,15.0,31.0,22.0,1.0,25.4,37.5,27.7,2.3,4.7,0.4,0.5,1.1,3.448,111.8,10
83.0,Milar,57.576,5.7,0.2,3.613,12.1,19.8,27.0,28.0,1.0,31.0,40.5,35.6,4.6,9.2,1.9,1.0,0.6,2.846,124.3,10
84.0,Alkios,42.329,2.833,0.667,4.31,8.0,8.333,22.0,13.0,0.0,21.667,35.333,26.667,5.0,4.833,0.833,0.833,1.167,4.083,135.167,6
