Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
1.0,atsui,79.5,0.293,0.269,0.125,1.0,0.474,0.095,0.079,3.0,2.0,0.0,0.158,0.174,0.111,0.972,0.222,1.0,1.0,0.0,0.582,1,3.0,2.0,0.0,79.5
4.0,watashiii,147.27,0.602,0.714,0.25,1.0,0.549,0.571,0.447,5.0,0.0,0.0,0.855,0.38,0.651,0.761,0.556,0.7,1.0,0.0,0.606,1,5.0,0.0,0.0,147.27
7.0,Stunar,163.59,0.676,0.854,0.25,1.0,0.695,0.619,1.0,3.0,2.0,0.0,0.382,0.641,0.238,0.986,0.333,1.0,0.947,0.4,0.667,1,3.0,2.0,0.0,163.59
8.0,Hejsan,101.84,0.395,0.473,0.0,0.889,0.519,0.095,0.526,3.0,2.0,0.0,0.395,0.239,0.317,0.859,0.278,0.9,0.789,0.0,0.586,1,3.0,2.0,0.0,101.84
14.0,ArronChu,162.43,0.671,0.661,0.656,0.917,0.628,0.786,0.638,10.0,11.0,3.0,0.339,0.755,0.224,0.965,0.625,0.875,0.974,0.65,0.819,4,10.0,11.0,3.0,162.43
20.0,kar72,139.72,0.567,0.636,0.365,0.981,0.634,0.667,0.447,18.0,14.0,0.0,0.458,0.415,0.306,0.948,0.259,0.95,0.904,0.367,0.648,6,18.0,14.0,0.0,139.72
21.0,PoolNoodle,162.9,0.673,0.728,0.556,1.0,0.649,0.829,0.671,34.0,39.0,2.0,0.368,0.689,0.232,0.983,0.461,0.96,0.995,0.56,0.712,10,26.0,31.0,2.0,162.9
23.0,Shuuka,110.47,0.434,0.356,0.312,1.0,0.673,0.429,0.263,4.0,2.0,0.0,0.303,0.207,0.317,0.761,0.444,0.6,0.895,0.2,0.793,1,4.0,2.0,0.0,110.47
30.0,revel,133.35,0.538,0.554,0.406,1.0,0.631,0.643,0.382,6.0,4.0,0.0,0.434,0.288,0.282,0.965,0.417,1.0,0.947,0.1,0.689,2,6.0,4.0,0.0,133.35
33.0,Tsui,132.29,0.533,0.639,0.225,1.0,0.578,0.519,0.382,59.0,55.0,5.0,0.309,0.545,0.213,0.952,0.294,0.92,0.968,0.18,0.641,10,32.0,21.0,0.0,132.29
37.0,claydoll1091,110.19,0.433,0.424,0.219,0.989,0.56,0.376,0.197,36.0,36.0,1.0,0.249,0.323,0.186,0.937,0.422,0.81,0.958,0.18,0.706,10,27.0,24.0,1.0,110.19
38.0,Diukes,120.65,0.48,0.463,0.312,0.889,0.594,0.429,0.263,4.0,1.0,1.0,0.487,0.272,0.468,0.69,0.611,0.7,0.842,0.0,0.697,1,4.0,1.0,1.0,120.65
40.0,FUCK_AMQ,98.01,0.377,0.324,0.25,0.963,0.612,0.365,0.167,16.0,16.0,0.0,0.294,0.12,0.283,0.812,0.287,0.833,0.842,0.033,0.704,6,16.0,16.0,0.0,98.01
45.0,Noru,125.26,0.501,0.56,0.328,0.972,0.572,0.429,0.25,13.0,7.0,0.0,0.457,0.266,0.323,0.915,0.431,0.925,0.895,0.0,0.641,4,13.0,7.0,0.0,125.26
46.0,Orfey,101.19,0.392,0.353,0.25,0.944,0.632,0.31,0.257,12.0,10.0,0.0,0.303,0.174,0.26,0.863,0.306,0.8,0.895,0.0,0.716,4,12.0,10.0,0.0,101.19
47.0,Renzou,132.29,0.533,0.551,0.375,1.0,0.593,0.556,0.289,8.0,7.0,0.0,0.491,0.304,0.349,0.906,0.556,0.8,0.93,0.067,0.701,3,8.0,7.0,0.0,132.29
49.0,accelerator11,103.64,0.403,0.38,0.188,0.667,0.528,0.476,0.158,4.0,1.0,0.0,0.355,0.207,0.444,0.592,0.444,0.6,0.526,0.0,0.689,1,4.0,1.0,0.0,103.64
50.0,Sniparook,126.34,0.506,0.59,0.25,1.0,0.54,0.238,0.474,2.0,4.0,0.0,0.697,0.424,0.532,0.803,0.333,0.8,0.737,0.2,0.623,1,2.0,4.0,0.0,126.34
51.0,Chata,120.95,0.482,0.533,0.297,0.958,0.55,0.446,0.286,22.0,17.0,2.0,0.439,0.387,0.303,0.933,0.257,0.888,0.941,0.25,0.602,8,22.0,17.0,2.0,120.95
52.0,Thaleko,141.3,0.574,0.666,0.375,1.0,0.588,0.587,0.465,18.0,13.0,0.0,0.493,0.466,0.315,0.969,0.324,0.967,0.947,0.233,0.629,6,18.0,13.0,0.0,141.3
58.0,Lika,125.54,0.503,0.426,0.538,0.978,0.636,0.59,0.279,15.0,11.0,2.0,0.303,0.309,0.205,0.961,0.533,0.92,0.968,0.12,0.802,5,15.0,11.0,2.0,125.54
59.0,neoburnz,140.23,0.569,0.647,0.338,0.989,0.582,0.567,0.545,71.0,71.0,4.0,0.578,0.473,0.379,0.946,0.378,0.84,0.963,0.22,0.611,10,21.0,32.0,2.0,140.23
66.0,bamboo,114.27,0.451,0.438,0.292,0.988,0.583,0.46,0.228,26.0,20.0,2.0,0.345,0.281,0.212,0.994,0.401,0.989,1.0,0.111,0.653,9,26.0,20.0,2.0,114.27
67.0,DKing20,101.77,0.394,0.413,0.125,1.0,0.522,0.357,0.171,6.0,4.0,0.0,0.395,0.212,0.258,0.965,0.278,0.95,0.974,0.0,0.585,2,6.0,4.0,0.0,101.77
69.0,Jube,91.97,0.35,0.344,0.125,1.0,0.554,0.286,0.105,2.0,3.0,0.0,0.237,0.152,0.19,0.915,0.167,0.8,0.947,0.0,0.69,1,2.0,3.0,0.0,91.97
70.0,MahiruShiina,121.85,0.486,0.493,0.331,0.989,0.596,0.471,0.297,42.0,39.0,0.0,0.579,0.148,0.426,0.863,0.456,0.74,0.837,0.02,0.666,10,29.0,25.0,0.0,121.85
72.0,ruuka,109.59,0.43,0.421,0.212,0.889,0.598,0.4,0.258,12.0,17.0,0.0,0.361,0.204,0.34,0.783,0.389,0.84,0.747,0.08,0.692,5,12.0,17.0,0.0,109.59
77.0,neptune,127.62,0.512,0.623,0.219,0.889,0.513,0.548,0.25,7.0,4.0,0.0,0.632,0.375,0.417,0.937,0.25,0.95,0.921,0.0,0.552,2,7.0,4.0,0.0,127.62
78.0,doomchicken,119.66,0.476,0.486,0.25,1.0,0.65,0.5,0.329,7.0,5.0,0.0,0.467,0.201,0.329,0.915,0.333,0.9,0.895,0.0,0.706,2,7.0,5.0,0.0,119.66
79.0,JuliAless64,121.62,0.485,0.561,0.25,0.972,0.538,0.357,0.421,8.0,10.0,1.0,0.513,0.261,0.363,0.905,0.347,0.875,0.855,0.05,0.596,4,8.0,10.0,1.0,121.62
80.0,moosepi,113.67,0.449,0.519,0.125,1.0,0.561,0.381,0.224,5.0,7.0,0.0,0.408,0.44,0.317,0.873,0.194,0.95,0.816,0.2,0.585,2,5.0,7.0,0.0,113.67
81.0,Pile,123.09,0.491,0.474,0.325,0.989,0.586,0.486,0.366,28.0,29.0,2.0,0.509,0.273,0.432,0.779,0.567,0.52,0.726,0.08,0.715,10,28.0,29.0,2.0,123.09
82.0,ShiinaMahiru,128.14,0.514,0.588,0.297,1.0,0.568,0.464,0.461,11.0,12.0,0.0,0.474,0.492,0.292,0.989,0.222,1.0,0.974,0.3,0.564,4,11.0,12.0,0.0,128.14
83.0,Milar,138.09,0.56,0.593,0.375,0.984,0.633,0.571,0.526,18.0,19.0,1.0,0.376,0.461,0.256,0.948,0.452,0.886,0.94,0.171,0.738,7,18.0,19.0,1.0,138.09
84.0,Alkios,101.73,0.394,0.42,0.125,1.0,0.533,0.302,0.263,7.0,10.0,0.0,0.224,0.38,0.18,0.92,0.222,0.867,0.965,0.2,0.589,3,7.0,10.0,0.0,101.73
87.0,Beokros,119.89,0.477,0.462,0.304,0.984,0.586,0.442,0.316,22.0,14.0,4.0,0.485,0.258,0.323,0.946,0.5,0.886,0.955,0.114,0.669,7,22.0,14.0,4.0,119.89
88.0,Emdiel,114.11,0.45,0.492,0.219,0.978,0.556,0.419,0.247,51.0,48.0,0.0,0.486,0.179,0.345,0.907,0.278,0.89,0.911,0.06,0.631,10,28.0,24.0,0.0,114.11
90.0,Keizan,99.34,0.383,0.317,0.229,0.889,0.64,0.349,0.14,8.0,8.0,0.0,0.272,0.101,0.217,0.906,0.463,0.933,0.895,0.0,0.684,3,8.0,8.0,0.0,99.34
91.0,Baikinman,101.94,0.395,0.451,0.125,0.917,0.506,0.238,0.217,10.0,10.0,0.0,0.454,0.22,0.45,0.687,0.208,0.725,0.75,0.05,0.605,4,10.0,10.0,0.0,101.94
97.0,chaabdu92,104.82,0.408,0.426,0.156,0.963,0.557,0.317,0.219,18.0,14.0,1.0,0.388,0.216,0.27,0.937,0.315,0.95,0.965,0.067,0.597,6,18.0,14.0,1.0,104.82
98.0,Comete,117.83,0.467,0.458,0.219,0.944,0.556,0.357,0.303,10.0,2.0,0.0,0.507,0.304,0.417,0.803,0.667,0.55,0.947,0.1,0.636,2,10.0,2.0,0.0,117.83
100.0,753,115.27,0.456,0.497,0.167,0.963,0.552,0.37,0.316,22.0,27.0,0.0,0.579,0.204,0.531,0.678,0.358,0.444,0.719,0.089,0.682,9,22.0,27.0,0.0,115.27
103.0,mrwolf2,122.35,0.488,0.413,0.469,1.0,0.706,0.548,0.316,5.0,6.0,0.0,0.25,0.272,0.246,0.831,0.472,0.55,0.895,0.2,0.847,2,5.0,6.0,0.0,122.35
104.0,joey,104.45,0.407,0.397,0.181,0.933,0.568,0.414,0.134,34.0,35.0,0.0,0.345,0.189,0.248,0.928,0.339,0.94,0.916,0.06,0.647,10,28.0,26.0,0.0,104.45
105.0,Zeal_Kido,103.2,0.401,0.389,0.229,1.0,0.553,0.349,0.246,5.0,10.0,0.0,0.461,0.127,0.384,0.812,0.278,0.667,0.842,0.0,0.68,3,5.0,10.0,0.0,103.2
106.0,cafezinho,121.66,0.485,0.506,0.262,1.0,0.601,0.495,0.324,39.0,34.0,3.0,0.492,0.218,0.363,0.882,0.378,0.84,0.863,0.08,0.678,10,27.0,28.0,1.0,121.66
