Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR
2025-01-01,59,neoburnz,60.0,12.161,27.859,4,4.284,69.697,63.014,51.562,58,55,102,170,,
2025-01-01,70,MahiruShiina,56.995,10.595,28.547,4,4.564,67.568,56.18,52.239,109,90,110,193,,
2025-01-01,128,wideFrogeWorried,54.43,11.72,27.442,5,4.209,51.613,51.613,58.462,49,46,86,158,,
2025-01-01,109,Ephemeral,53.368,8.23,29.121,2,4.845,56.757,47.191,59.701,64,58,103,193,,
2025-01-01,151,MageFlameFreeze,48.101,9.488,26.657,0,4.329,38.71,50,50.769,49,44,76,158,,
2025-01-01,143,mahzrunner,43.529,7.99,28.33,1,4.527,54.545,35.616,46.875,49,40,74,170,,
2025-01-01,307,KaedeDayo,43.523,6.314,30.525,1,4.94,72.973,39.326,32.836,48,40,84,193,,
2025-01-01,179,Floth,43.396,8.469,28.768,5,4.464,44.444,44.048,41.667,36,33,69,159,,
2025-01-01,144,LiljaKatsuragi,43.396,8.397,28.26,3,4.42,40.741,40.476,50,75,59,69,159,,
2025-01-01,105,Zeal_Kido,37.342,6.789,26.35,1,4.593,35.484,37.097,38.462,49,42,59,158,,
2025-01-01,159,legrandort,35.233,4.951,30.658,2,5.132,40.541,32.584,35.821,46,44,68,193,,
2025-01-01,103,MrWolf,35.22,8.086,25.777,5,4.143,33.333,34.524,37.5,48,31,56,159,,
2025-01-01,172,oolli,33.333,5.763,27.789,2,4.642,33.333,30.952,37.5,52,44,53,159,,
2025-01-01,236,Serozero,28.235,4.33,28.367,1,4.854,30.303,27.397,28.125,46,31,48,170,,
2025-01-01,293,KitasanBlack,26.471,2.984,31.427,1,5.4,39.394,26.027,20.312,80,38,45,170,,
2025-01-01,180,psirockin,25.316,6.455,26.669,7,4.2,38.71,19.355,24.615,43,32,40,158,,
2025-01-01,52,Thaleko,65.421,15.476,27.847,7,3.529,69.565,63.043,65.789,34,29,70,107,,
2025-01-01,59,neoburnz,62.963,10.691,28.929,2,4.259,42.857,79.245,55.738,49,46,85,135,,
2025-01-01,220,KanzakiRanko,60.909,12.306,27.989,6,4.06,63.158,60.377,60.526,34,34,67,110,,
2025-01-01,70,MahiruShiina,60.432,12.871,27.287,8,3.94,60,59.677,61.404,73,61,84,139,,
2025-01-01,109,Ephemeral,54.464,8.469,28.867,0,4.344,44.444,58.537,54.717,34,29,61,112,,
2025-01-01,128,wideFrogeWorried,53.571,9.928,28.862,4,4.217,33.333,53.659,60.377,36,33,60,112,,
2025-01-01,45,Anoru_,52.577,13.393,25.816,8,3.51,73.333,47.5,50,35,26,51,97,,
2025-01-01,318,Nephirea,50.909,7.492,30.034,1,4.571,52.632,47.17,55.263,27,27,56,110,,
2025-01-01,323,Lilypri,47.414,9.794,28.909,6,4.109,57.692,48.98,39.024,28,25,55,116,,
2025-01-01,105,Zeal_Kido,43.443,11.282,25.605,7,3.377,55.556,53.704,28,44,38,53,122,,
2025-01-01,98,comete,43.165,7.636,28.264,2,4.333,75,43.548,31.579,47,34,60,139,,
2025-01-01,276,hmsuis,41.964,4.891,30.869,0,4.915,38.889,46.341,39.623,32,30,47,112,,
2025-01-01,150,Bommie,40.741,5.628,29.988,1,4.727,42.857,41.509,39.344,54,44,55,135,,
2025-01-01,328,tskr,40.741,6.36,29.875,4,4.6,23.81,45.283,42.623,47,31,55,135,,
2025-01-01,160,Skychael,38.318,7.613,27.4,2,3.878,43.478,36.957,36.842,25,22,41,107,,
2025-01-01,175,Kirox,37.931,6.189,30.17,3,4.568,42.308,34.694,39.024,44,36,44,116,,
2025-01-01,143,mahzrunner,36.066,8.837,28.798,6,3.591,27.778,35.185,40,35,31,44,122,,
2025-01-01,326,ShiroganeLily,35.052,8.407,27.59,4,3.647,33.333,32.5,38.095,28,23,34,97,,
2025-01-01,133,OnlyWorldDaiStar,34.545,5.561,29.779,1,4.526,84.211,20.755,28.947,39,19,38,110,,
2025-01-01,172,oolli,33.094,4.955,29.405,1,4.609,50,32.258,28.07,50,40,46,139,,
2025-01-01,228,Dry,32.787,8.16,25.436,7,3.625,27.778,33.333,34,52,38,40,122,,
2025-01-01,92,Kuterin,32.759,7.716,27.619,6,3.789,42.308,34.694,24.39,56,30,38,116,,
2025-01-01,205,TBDhater,31.776,6.544,29.214,4,3.912,34.783,30.435,31.579,24,23,34,107,,
2025-01-01,285,miiarad,29.496,3.962,28.535,0,4.756,15,30.645,33.333,26,24,41,139,,
2025-01-01,164,IAmAsianNoob,28.182,3.218,30.994,0,5.065,26.316,24.528,34.211,22,21,31,110,,
2025-01-01,260,AnotherWish,23.711,5.005,30.536,2,4.13,40,25,16.667,30,19,23,97,,
2025-01-01,322,Catge,22.963,2.967,31.964,1,4.968,23.81,28.302,18.033,28,19,31,135,,
2025-01-01,357,chommy,18.75,2.363,30.321,1,5.048,5.556,17.073,24.528,10,10,21,112,,
2025-01-01,170,hubcioskubcio,17.241,1.842,33.24,0,5.35,23.077,12.245,19.512,18,16,20,116,,
2025-01-01,334,2skr,16.822,2.406,29.917,1,4.667,26.087,10.87,18.421,13,10,18,107,,
2025-01-01,225,MythAndroid,14.433,2.864,31.966,2,4.357,26.667,2.5,21.429,29,12,14,97,,
