player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR,,
2023-12-16,,,,,,,,,,,,,,,,
Keiko,67.227,,21.936,7,3.413,55,63.793,78.049,33,28,80,119,5,60.47%,,11
kar72,63.725,,24.367,5,3.923,63.158,66.667,60.976,25,24,65,102,1,53.25%,,20
Tsui,52.941,,24.014,1,3.944,87.5,38.636,54.762,19,18,54,102,1,43.37%,,33
Lika,52.679,,25.557,3,4.508,50,37.5,68.182,50,42,59,112,8,27.42%,,58
Rissa,50,,24.787,6,4.196,42.857,50,54.545,32,30,56,112,2,32.50%,,47
Serecola,46.774,,24.719,0,4.534,63.636,54.386,28.889,24,22,58,124,2,36.00%,,182
mkby,45.968,,25.103,3,4.386,50,42.105,48.889,27,24,57,124,3,34.02%,,43
Bommie,43.75,,26.929,1,4.816,46.429,30,54.545,49,38,49,112,11,17.46%,,150
doomchicken,42.157,,25.714,0,4.349,42.105,33.333,51.22,28,26,43,102,2,22.97%,,78
oh95,40.323,,25.256,2,4.72,54.545,40.351,33.333,43,31,50,124,12,23.46%,,177
Fuj,37.903,,25.88,2,4.66,36.364,45.614,28.889,49,38,47,124,11,12.00%,,130
mahzrunner,37.255,,26.645,3,4.289,31.579,28.571,48.78,24,20,38,102,4,23.08%,,143
Octavio,37.255,,23.242,3,4.105,56.25,29.545,38.095,14,11,38,102,3,30.68%,,60
Fumiii,36.607,,26.537,1,4.951,35.714,25,47.727,44,36,41,112,8,7.35%,,119
AnimeroD,34.454,,23.294,0,3.902,30,46.552,19.512,23,20,41,119,3,21.88%,,85
LelPop,27.451,,23.703,5,3.786,21.053,28.571,29.268,29,24,28,102,5,5.48%,,124
Yolowolf75,26.891,,25.564,0,4.344,40,37.931,4.878,42,24,32,119,18,10.39%,,181
UselessPanda,26.471,,24.47,0,4.074,18.75,18.182,38.095,8,7,27,102,1,21.28%,,1
zental,24.37,,25.262,0,4.103,20,29.31,19.512,21,21,29,119,0,8.16%,,156
psirockin,16.667,,23.044,1,3.647,25,18.182,11.905,31,17,17,102,14,0.00%,,180
,,,,,,,,,,,,,,,,
2023-12-17,,,,,,,,,,,,,,,,#N/A
theyingster,85.981,,20.728,13,3.402,88.889,88.889,81.818,35,35,92,107,0,79.17%,,2
AKl,69.697,,21.861,7,3.493,82.759,66.667,61.29,47,43,69,99,4,50.00%,,4
kar72,65.649,,23.348,7,3.849,64.286,60.656,71.429,36,32,86,131,4,56.84%,,20
SUS_DOMESTICUS,63.636,,23.032,1,3.762,72.414,69.231,48.387,63,48,63,99,15,41.67%,,27
ShiinaMahiru,52.308,,23.89,1,4.471,53.846,56.25,48.214,24,23,68,130,1,42.45%,,82
Rissa,50.769,,22.205,7,4.121,53.846,41.667,57.143,37,35,66,130,2,33.33%,,47
YuriMeguri,45.614,,22.407,2,4.038,73.684,42.593,36.585,37,30,52,114,7,28.57%,,34
SPYAIR,42.982,,22.325,2,4.265,63.158,35.185,43.902,22,22,49,114,0,29.35%,,83
watashiii,42.056,,22.756,1,4.4,50,46.667,34.091,30,25,45,107,5,25.97%,,129
MrWolf,34.351,,23.563,4,4.356,42.857,29.508,37.5,39,27,45,131,12,19.57%,,103
JuliAless64,34.351,,25.229,1,4.533,35.714,34.426,33.929,40,29,45,131,11,17.58%,,79
Ephemeral,33.846,,24.253,1,4.864,34.615,29.167,37.5,33,32,44,130,1,12.37%,,109
Bommie,33.333,,23.602,3,4.368,15.789,33.333,41.463,34,28,38,114,6,12.50%,,150
Janoxx,32.323,,21.449,2,3.844,44.828,30.769,22.581,16,15,32,99,1,20.48%,,121
mahzrunner,31.579,,24.328,2,4.389,31.579,27.778,36.585,20,17,36,114,3,20.21%,,143
IAmAsianNoob,20.769,,24.9,0,5.333,15.385,18.75,25,20,18,27,130,2,8.18%,,164
legrandort,19.192,,27.05,0,4.368,20.69,15.385,22.581,17,16,19,99,1,3.66%,,159
psirockin,14.504,,27.484,0,5.263,0,14.754,17.857,32,15,19,131,17,4.04%,,180
Skychael,14.019,,22.381,2,3.8,27.778,6.667,15.909,8,8,15,107,0,7.07%,,160
,,,,,,,,,,,,,,,,
2023-12-18,,,,,,,,,,,,,,,,#N/A
Keiko,68.627,,22.406,7,3.386,56.522,63.636,82.857,33,27,70,102,6,62.32%,,11
FUCK_AMQ,55.285,,25.162,4,4.235,55.172,58.73,48.387,41,35,68,123,6,40.24%,,40
MahiruShiina,46.078,,24.253,2,3.894,40.909,40.476,55.263,49,37,47,102,12,18.87%,,70
Fuj,40.65,,25.746,3,4.7,31.034,39.683,51.613,41,31,50,123,10,23.17%,,130
Legitted,39.837,,26.053,1,4.776,44.828,41.27,32.258,15,15,49,123,0,31.48%,,112
Zeal_Kido,39.216,,23.678,5,3.95,45.455,28.571,47.368,39,29,40,102,10,17.46%,,105
Bommie,36.585,,27.155,1,4.711,24.138,36.508,48.387,51,39,45,123,12,8.33%,,150
zental,34.314,,23.455,3,3.714,13.636,40.476,39.474,24,24,35,102,0,14.10%,,156
JuliAless64,34.314,,23.478,2,3.886,34.783,36.364,31.429,26,21,35,102,5,18.42%,,79
UselessPanda,31.373,,23.615,2,3.875,17.391,27.273,45.714,17,15,32,102,2,20.00%,,1
Jakemonkey,23.377,,25.855,2,3.5,33.333,19.355,20,16,12,18,77,4,9.84%,,134
JustaWeirdo,12.745,,28.506,0,4.692,22.727,0,21.053,15,10,13,102,5,3.45%,,171
,,,,,,,,,,,,,,,,
2023-12-20,,,,,,,,,,,,,,,,#N/A
kar72,67,,23.696,2,3.612,47.619,66.667,82.143,26,22,67,100,4,60.81%,,20
DKing20,49.58,,24.675,1,4,61.538,46.154,46.341,19,17,59,119,2,42.00%,,67
Chata,44.954,,23.256,3,3.776,75,36.207,41.935,27,24,49,109,3,30.49%,,51
comfv,43.119,,22.207,4,3.66,70,34.483,41.935,25,21,47,109,4,30.95%,,76
SPYAIR,42.857,,22.242,1,3.881,55,47.17,24,17,17,42,98,0,30.86%,,83
