Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs
2026-01-07 22:14:25,14.836,80s,54.545,16.056,6,4,1,4.121,25,62.857,44.898,59.459,9,15,66,121,2,3,0,88.372,35.897,35.537,43,10,1,38,5,2,0,3.302
2026-01-07 22:14:25,10.872,Orfey,52.713,13.045,2,8,0,4.162,25,70.588,52.273,41.176,8,5,68,129,1,4,0,77.273,40,34.109,44,3,3,34,10,0,0,3.591
2026-01-07 22:14:25,12.5,Nicole,49.612,12.794,1,8,0,4.094,27,61.765,47.727,43.137,6,9,64,129,1,4,0,76.923,37.778,30.233,39,7,3,30,9,1,0,3.359
2026-01-07 22:14:25,11.328,Animerod,49.593,14.99,6,11,0,3.902,27,68.421,50,42.593,9,12,61,123,2,3,0,86.538,22.535,42.276,52,4,1,45,7,1,0,3.462
2026-01-07 22:14:25,11.864,Provenance,49.167,13.619,4,10,1,4.153,24,65.625,42.857,43.59,9,6,59,120,5,0,0,91.667,20.833,40,48,7,0,44,4,1,0,3.833
2026-01-07 22:14:25,12.63,accelerator11,49.091,18.825,7,15,0,3.241,34,82.609,52.174,26.829,10,18,54,110,3,2,0,64.286,33.333,50.909,56,11,7,36,20,2,1,2.357
2026-01-07 22:14:25,12.258,MrWolf,47.312,13.667,2,6,0,3.977,18,52.632,50,40.625,5,12,44,93,2,3,0,70.27,32.143,39.785,37,6,2,26,11,3,1,3.27
2026-01-07 22:14:25,11.064,Janoxx,47.312,12.616,3,6,0,4.159,13,68.421,38.095,46.875,5,9,44,93,2,3,0,95.652,31.429,24.731,23,7,0,22,1,0,0,3.739
2026-01-07 22:14:25,11.931,Alkios,45.455,9.49,0,4,0,4.636,13,62.857,36.735,40.541,2,7,55,121,2,3,0,88.889,41.964,7.438,9,1,0,8,1,1,0,4.111
2026-01-07 22:14:25,10.926,Skychael,45,10.903,2,10,0,4.407,18,65.625,44.898,28.205,6,5,54,120,5,0,0,91.176,26.744,28.333,34,4,2,31,3,1,0,3.824
2026-01-07 22:14:25,11.739,joey,43.411,12.895,3,8,0,3.893,28,41.176,45.455,43.137,7,10,56,129,1,4,0,77.551,22.5,37.984,49,12,3,38,11,4,0,3.122
2026-01-07 22:14:25,9.88,Kirox,40.496,7.438,0,4,0,4.776,10,60,34.694,29.73,2,3,49,121,2,3,0,85,18.519,33.058,40,5,1,34,6,2,0,4.35
2026-01-07 22:14:25,12.297,rorf,37.5,9.782,3,10,0,4.378,17,50,30.612,35.897,6,9,45,120,5,0,0,72.222,22.619,30,36,5,1,26,10,1,0,3.417
2026-01-07 22:14:25,12.726,Baikinman,36.585,9.64,2,11,0,4.2,16,84.211,26,29.63,6,8,45,123,2,3,0,46.939,29.73,39.837,49,5,4,23,26,6,1,2.898
2026-01-07 22:14:25,8.771,thjalago,34.167,10.487,4,10,0,4.22,18,37.5,20.408,48.718,5,11,41,120,5,0,0,92.857,16.304,23.333,28,6,1,26,2,0,1,3.714
2026-01-07 22:14:25,7.938,Hyonoka,31.707,8.522,1,11,2,4.077,17,42.105,38,22.222,4,8,39,123,2,3,0,45.455,28.713,17.886,22,3,3,10,12,0,0,2.909
2026-01-07 22:14:25,10.179,AnotherWish,29.091,9.046,1,15,0,3.719,15,17.391,36.957,26.829,6,6,32,110,3,2,0,93.75,2.564,29.091,32,2,0,30,2,1,0,3.625
2026-01-07 22:14:25,13.183,Komari,29.032,6.656,1,6,0,4.481,7,15.789,28.571,37.5,1,6,27,93,2,3,0,86.667,17.949,16.129,15,1,0,13,2,2,0,3.8
2026-01-07 22:14:25,9.885,Heleos,26.829,5.276,1,11,0,4.879,8,36.842,24,25.926,2,4,33,123,2,3,0,75,6.897,29.268,36,6,2,27,9,0,0,4.278
2026-01-07 22:14:25,9.266,FeyFey,26.364,6.49,0,15,0,4.069,12,30.435,28.261,21.951,0,7,29,110,3,2,0,76,11.765,22.727,25,2,2,19,6,2,0,3.44
2026-01-07 22:14:25,8.155,JustAWeirdo,25.62,3.79,0,4,0,5.258,3,28.571,20.408,29.73,2,2,31,121,2,3,0,91.304,10.204,19.008,23,4,0,21,2,0,0,4.696
2026-01-07 22:14:25,11.169,ss_r_white_pony,21.818,9.275,5,15,2,3,15,30.435,21.739,17.073,7,5,24,110,3,2,0,86.364,5.682,20,22,2,1,19,3,0,0,2.636
2026-01-07 22:14:25,8.251,Bullymel36,13.978,3.806,2,6,1,4.462,3,10.526,16.667,12.5,3,0,13,93,2,3,0,71.429,3.797,15.054,14,4,0,10,4,1,0,3.857
2026-01-07 22:14:25,6.852,FoopyPoopy,6.202,1.657,1,8,4,4.375,2,8.824,9.091,1.961,2,0,8,129,1,4,0,75,4,3.101,4,0,0,3,1,0,0,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs
2026-01-13 22:44:38,17,Milar,60.448,16.492,2,5,0,3.988,36,81.818,56.667,48.78,7,24,81,134,3,2,0,85.714,42.308,41.791,56,10,1,48,8,3,0,3.554
2026-01-13 22:44:38,14,Tsui,60.36,20.238,5,4,0,3.627,36,80,48.837,54.545,11,17,67,111,3,2,0,94.118,54.255,15.315,17,4,1,16,1,0,2,3.529
2026-01-13 22:44:38,15,kar72,56.452,14.997,2,10,0,3.971,28,66.667,63.83,40.909,2,20,70,124,1,4,0,81.481,49.485,21.774,27,4,1,22,5,1,1,3.556
2026-01-13 22:44:38,15,mkby,51.515,13.073,2,6,0,4.137,17,71.429,40.541,47.059,8,6,51,99,1,3,0,89.286,36.62,28.283,28,5,1,25,3,0,0,3.75
2026-01-13 22:44:38,15,80s,50,17.198,4,8,0,3.56,31,56.25,40.476,57.143,11,15,50,100,3,2,0,84.375,33.824,32,32,6,3,27,5,1,0,2.875
2026-01-13 22:44:38,15,Orfey,50,12.408,2,7,0,4.222,17,62.069,48.837,41.667,7,5,54,108,1,4,0,81.395,29.231,39.815,43,5,1,35,8,2,0,3.674
2026-01-13 22:44:38,15,Nicole,49.58,17.467,4,16,0,3.508,34,42.105,48.889,52.727,10,22,59,119,2,3,0,87.179,31.25,32.773,39,7,4,34,5,1,1,2.974
2026-01-13 22:44:38,13,Provenance,47.222,14.551,5,7,0,3.863,21,58.621,44.186,41.667,10,8,51,108,1,4,0,100,22.973,31.481,34,10,0,34,0,0,0,3.353
2026-01-13 22:44:38,14,Janoxx,45.536,16.561,10,8,0,3.627,26,51.724,31.579,53.333,12,11,51,112,3,2,0,93.75,26.25,28.571,32,12,0,30,2,2,0,2.562
2026-01-13 22:44:38,14,Animerod,43.548,11.089,3,10,0,4.093,16,54.545,38.298,40.909,4,8,54,124,1,4,0,84.211,25.581,30.645,38,5,1,32,6,1,0,3.526
2026-01-13 22:44:38,13,mrwolf2,43.478,18.084,8,4,0,3.125,25,50,40.625,41.667,13,6,40,92,4,1,0,65.714,29.825,38.043,35,12,4,23,12,3,1,2.371
2026-01-13 22:44:38,12,Baikinman,42.857,12.682,3,8,0,3.917,24,82.759,26.316,31.111,7,12,48,112,3,2,0,59.459,34.667,33.036,37,7,3,22,15,6,0,2.811
2026-01-13 22:44:38,12,JuliAless64,38.06,9.741,3,5,0,4.275,19,36.364,31.667,48.78,8,7,51,134,3,2,0,81.25,13.953,35.821,48,7,1,39,9,3,0,3.688
2026-01-13 22:44:38,12,Kirox,36.036,8.428,1,4,0,4.375,14,34.286,30.233,45.455,4,4,40,111,3,2,0,91.892,8.108,33.333,37,8,0,34,3,1,0,3.865
2026-01-13 22:44:38,9,FeyFey,34.328,7.51,0,5,1,4.457,14,45.455,31.667,29.268,3,5,46,134,3,2,0,71.053,19.792,28.358,38,3,0,27,11,1,0,4.132
2026-01-13 22:44:38,11,cafezinho,33.696,11.37,4,4,0,3.677,17,41.667,40.625,22.222,6,8,31,92,4,1,0,86.957,15.942,25,23,5,0,20,3,1,0,3.174
2026-01-13 22:44:38,12,peeku,33,9.046,1,8,0,4.091,16,75,26.19,23.81,6,4,33,100,3,2,0,86.667,23.529,15,15,7,1,13,2,0,0,2.933
2026-01-13 22:44:38,10,Serozero,33,10.82,3,8,0,3.848,17,31.25,33.333,33.333,10,7,33,100,3,2,0,83.333,11.429,30,30,4,0,25,5,1,1,3.4
