Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Player ID,Offlist hit
2026-01-23 22:14:02,21.0,watashiii,86.585,33.509,14.0,1,0.0,2.887,49,87.5,82.759,89.189,20.0,23.0,71.0,82.0,2.0,3.0,0.0,90.476,82.5,51.22,42.0,9.0,0.0,38.0,4.0,3.0,3.0,2.667,4.0,33.0
2026-02-01 22:35:39,21.0,watashiii,81.818,28.571,5.0,5,0.0,3.264,46,100,89.474,57.143,20.0,14.0,72.0,88.0,4.0,1.0,0.0,88.889,74.419,51.136,45.0,0.0,1.0,40.0,5.0,2.0,2.0,2.911,4.0,32.0
2026-02-23 22:19:28,21.0,watashiii,84.615,27.195,5.0,5,0.0,3.798,43,94.444,83.721,82.143,12.0,23.0,99.0,117.0,1.0,4.0,0.0,92.424,74.51,56.41,66.0,8.0,3.0,61.0,5.0,0.0,1.0,3.5,4.0,38.0
2026-03-13 22:13:31,21.0,watashiii,84.138,28.436,7.0,2,0.0,3.844,60,91.667,84.375,77.778,16.0,35.0,122.0,145.0,2.0,4.0,0.0,87.879,81.013,45.517,66.0,6.0,0.0,58.0,8.0,4.0,1.0,3.439,4.0,64.0
2026-03-18 22:07:17,21.0,watashiii,85.106,27.408,7.0,8,0.0,3.583,60,85.714,90.385,80.328,14.0,25.0,120.0,141.0,4.0,2.0,0.0,92,77.273,53.191,75.0,9.0,3.0,69.0,6.0,0.0,0.0,3.12,4.0,51.0
2026-02-19 22:58:10,14.0,Hejsan,53.125,13.649,4.0,7,0.0,4.541,22,71.053,55.357,40.909,11.0,9.0,85.0,160.0,4.0,2.0,0.0,74.324,34.884,46.25,74.0,14.0,6.0,55.0,19.0,1.0,1.0,3.905,8.0,30.0
2026-02-23 22:19:28,15.0,Hejsan,44.118,10.305,1.0,16,1.0,4.5,20,65,40.385,40.625,7.0,10.0,60.0,136.0,3.0,2.0,0.0,68.333,25,44.118,60.0,9.0,5.0,41.0,19.0,6.0,0.0,3.467,8.0,19.0
2026-02-26 19:09:30,14.0,Hejsan,59.848,16.1,7.0,6,0.0,4.114,29,89.286,48.214,56.25,11.0,16.0,79.0,132.0,3.0,3.0,0.0,81.667,41.667,45.455,60.0,13.0,2.0,49.0,11.0,4.0,0.0,3.617,8.0,30.0
2026-03-02 22:08:52,15.0,Hejsan,55.833,16.762,4.0,9,0.0,3.881,28,94.737,52,45.098,13.0,7.0,67.0,120.0,1.0,2.0,2.0,74.545,40,45.833,55.0,8.0,4.0,41.0,14.0,2.0,0.0,3.055,8.0,26.0
2026-04-01 21:09:10,15.0,Hejsan,56.643,17.619,7.0,13,0.0,3.543,50,83.333,58.824,41.176,12.0,20.0,81.0,143.0,3.0,3.0,0.0,71.429,39.394,53.846,77.0,11.0,8.0,55.0,22.0,2.0,0.0,2.779,8.0,26.0
2026-04-16 21:21:24,15.0,Hejsan,62.264,17.886,4.0,3,0.0,3.712,30,79.167,54.762,60,9.0,12.0,66.0,106.0,4.0,1.0,0.0,90,37.5,47.17,50.0,9.0,1.0,45.0,5.0,1.0,0.0,3.46,8.0,21.0
