Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
4.0,2026-03-18 22:07:17,21.0,watashiii,86.585,33.509,14.0,8,0.0,3.844,60,94.444,90.385,89.189,20.0,35.0,122.0,145.0,13.0,14.0,0.0,92.424,82.5,56.41,75.0,9.0,3.0,69.0,8.0,4.0,3.0,3.5,64.0
8.0,2026-04-22 21:14:40,15.0,Hejsan,62.264,17.886,7.0,9,1.0,4.541,50,94.737,58.824,60,13.0,20.0,85.0,160.0,21.0,15.0,2.0,90,41.667,53.846,77.0,14.0,8.0,55.0,22.0,6.0,1.0,3.905,30.0
16.0,2026-04-22 21:14:40,15.0,yahallonyanpasu,51.754,19.974,7.0,9,1.0,3.518,43,69.565,64.286,46.809,18.0,25.0,59.0,114.0,5.0,5.0,0.0,79.167,38.158,44.037,48.0,8.0,3.0,38.0,10.0,3.0,1.0,3.208,29.0
20.0,2026-04-22 21:14:40,15.0,kar72,60.0,18.573,6.0,8,1.0,4.11,34,71.429,63.83,52.174,11.0,20.0,73.0,154.0,7.0,9.0,0.0,89.655,50,25.217,35.0,5.0,2.0,30.0,5.0,1.0,2.0,3.556,48.0
25.0,2026-01-13 22:44:38,15.0,80s,54.545,17.198,6.0,8,1.0,4.121,31,62.857,44.898,59.459,11.0,15.0,66.0,121.0,5.0,5.0,0.0,88.372,35.897,35.537,43.0,10.0,3.0,38.0,5.0,2.0,0.0,3.302,28.0
33.0,2026-03-18 22:07:17,16.0,Tsui,68.0,21.612,6.0,9,1.0,4.433,48,87.179,76,60.317,19.0,27.0,120.0,179.0,33.0,32.0,2.0,96.667,63.433,25,30.0,6.0,1.0,29.0,7.0,1.0,2.0,4.154,96.0
38.0,2026-04-16 21:21:24,14.0,Diukes,55.66,17.391,6.0,3,1.0,4.205,29,66.667,69.811,35,11.0,10.0,73.0,148.0,14.0,3.0,0.0,78.723,38.043,44.628,56.0,8.0,3.0,38.0,19.0,4.0,3.0,3.574,35.0
40.0,2026-02-23 22:19:28,10.0,FUCK_AMQ,35.577,9.805,3.0,7,2.0,4.8,17,45.833,39.474,34.783,5.0,8.0,40.0,120.0,6.0,8.0,0.0,81.818,26.374,25.532,29.0,6.0,2.0,18.0,13.0,4.0,0.0,3.682,24.0
43.0,2026-01-13 22:44:38,15.0,mkby,51.515,13.073,2.0,6,0.0,4.137,17,71.429,40.541,47.059,8.0,6.0,51.0,99.0,1.0,3.0,0.0,89.286,36.62,28.283,28.0,5.0,1.0,25.0,3.0,0.0,0.0,3.75,26.0
44.0,2026-03-18 22:07:17,15.0,Nicole,61.35,17.81,5.0,8,0.0,4.672,43,61.765,65.079,59.677,11.0,23.0,100.0,163.0,8.0,13.0,0.0,94.545,44.792,33.742,55.0,8.0,4.0,52.0,9.0,1.0,1.0,4.381,48.0
